case_id,tensor_path,molecule,bond_length,basis,active_occupied,active_vacant,occupied_fraction,active_space_imbalance,n_qubits,trotter_steps,evolution_time,coefficient_tolerance,numerical_error_floor,jw_signed_one_minus_overlap,jw_magnitude_one_minus_overlap,fermionic_aware_one_minus_overlap,fermionic_to_jw_signed_ratio,fermionic_to_jw_magnitude_ratio,fermionic_advantage_factor,log10_fermionic_advantage,fermionic_available,valid_comparison,outcome,exclusion_reason,jw_signed_source_csv,jw_magnitude_source_csv,fermionic_aware_source_csv,global_advantage_rank,structure_status,structure_source,structure_unavailable_reason,number_of_fermionic_parents,number_of_one_body_parents,number_of_two_body_parents,one_body_coefficient_mass,two_body_coefficient_mass,total_nonconstant_parent_coefficient_mass,two_body_coefficient_mass_fraction,two_body_parent_fraction,two_body_excitation_rank0_weighted_fraction,two_body_excitation_rank1_weighted_fraction,two_body_excitation_rank2_weighted_fraction,two_body_support2_weighted_fraction,two_body_support3_weighted_fraction,two_body_support4_weighted_fraction,log10_fermionic_error,log10_jw_magnitude_error,log10_jw_magnitude_to_fermionic_advantage
Be-Be_2.04_hgbs-5_as-008-006,hamiltonian_generator/hgbs5_diatomic_basis_transfer/screen/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-006.tensors.npz,Be-Be,2.04,hgbs-5,8,6,0.5714285714285714,0.1428571428571428,14,100,1.0,1e-12,1e-12,1.609759671117317e-07,1.4689333782680336e-07,2.6708023459498523e-08,0.1659131107500088,0.1818191611316572,5.49997037592693,0.7403603502931322,True,True,fermionic_win,,analysis/hgbs5_be2_screen_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv,12.0,success,active_tensor,,385.0,22.0,363.0,58.882242314843936,33.929563281021856,92.81180559586579,0.3655737873343692,0.9428571428571428,0.9359271497868921,0.05680270152253451,0.007270148690572569,0.7886352338757541,0.05444315461473568,0.15692161150950992,-7.573358250967599,-6.832997900674467,0.7403603502931322
Be-Be_2.04_hgbs-5_as-008-008,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-008.tensors.npz,Be-Be,2.04,hgbs-5,8,8,0.5,0.0,16,100,1.0,1e-12,1e-12,1.634227961844204e-07,1.476953450652019e-07,1.357650755151596e-07,0.830759714586884,0.9192237944616634,1.0878743631583674,0.0365787422944754,True,True,fermionic_win,,analysis/hgbs5_be2_night_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv,54.0,success,active_tensor,,678.0,28.0,650.0,60.979726049901984,38.09628128983294,99.07600733973493,0.3845157098347688,0.9587020648967551,0.9139340962020714,0.07830674892836535,0.007759154869563635,0.7792744346964998,0.06731331509891289,0.153412250204589,-6.8672119344866145,-6.830633192192138,0.03657874229447549
Be-Be_2.04_hgbs-5_as-008-010,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-010.tensors.npz,Be-Be,2.04,hgbs-5,8,10,0.4444444444444444,0.1111111111111111,18,100,1.0,1e-12,1e-12,1.7078436798101393e-07,1.556830450111235e-07,1.3375730778530937e-07,0.7831940906920658,0.8591642575834282,1.1639217893126752,0.0659237985173851,True,True,fermionic_win,,analysis/hgbs5_be2_night_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv,49.0,success,active_tensor,,1109.0,30.0,1079.0,62.60546694793574,42.3358215390671,104.94128848700284,0.4034238777648558,0.9729486023444545,0.9137629535990957,0.0779806963280236,0.008256350072881903,0.7806063771117632,0.061121985086673214,0.15827163780156644,-6.873682481126282,-6.807758682608897,0.06592379851738515
Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,0.4,0.2,20,100,1.0,1e-12,1e-12,1.7955809183956006e-07,1.5342733483691973e-07,1.3069481441529973e-07,0.7278692543251074,0.8518352649103712,1.173935901920213,0.0696443846438661,True,True,fermionic_win,,analysis/hgbs5_be2_night_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv,48.0,success,active_tensor,,1580.0,32.0,1548.0,64.23120784596996,47.02041823092134,111.2516260768913,0.42264926715249346,0.979746835443038,0.9144405412843636,0.07697842530084784,0.008581033414790287,0.7813758482529194,0.055763337809543824,0.16286081393753896,-6.883741643601536,-6.81409725895767,0.06964438464386614
Be-H_1.47_hgbs-5_as-003-003,hamiltonian_generator/library/Be-H/1.47/hgbs-5/Be-H_1.47_hgbs-5_as-003-003.tensors.npz,Be-H,1.47,hgbs-5,3,3,0.5,0.0,6,100,1.0,1e-12,1e-12,3.577335094817612e-10,3.533801029576011e-10,3.5402669684714283e-10,0.9896380614721042,1.0018297405092422,0.9981736013263968,-0.0007939200938983,True,True,jw_magnitude_win,,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,118.0,success,reconstructed_from_full_molecular_pickle,,41.0,8.0,33.0,4.998989929395358,3.4897327922877954,8.488722721683153,0.41110222429268456,0.8048780487804879,0.9553466192553753,0.04204145129292631,0.00261192945169835,0.9296027093002428,0.04626396100686818,0.024133329692888922,-9.450963986967913,-9.451757907061813,-0.0007939200938983571
Be-H_1.47_hgbs-5_as-003-005,hamiltonian_generator/library/Be-H/1.47/hgbs-5/Be-H_1.47_hgbs-5_as-003-005.tensors.npz,Be-H,1.47,hgbs-5,3,5,0.375,0.25,8,100,1.0,1e-12,1e-12,4.2590875271031337e-10,7.122201717280061e-10,7.172934468613335e-10,1.684148170932774,1.0071231837214305,0.9929271971526766,-0.003082593432076,True,True,jw_magnitude_win,,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,123.0,success,reconstructed_from_full_molecular_pickle,,70.0,10.0,60.0,5.827179723080123,5.286966931685251,11.114146654765374,0.47569706392333566,0.8571428571428571,0.9632865053348878,0.033265417165657014,0.0034480774994553494,0.941296524513946,0.03207294712060729,0.02663052836544706,-9.14430313682797,-9.147385730260046,-0.003082593432076112
Be-H_1.47_hgbs-5_as-003-007,hamiltonian_generator/library/Be-H/1.47/hgbs-5/Be-H_1.47_hgbs-5_as-003-007.tensors.npz,Be-H,1.47,hgbs-5,3,7,0.3,0.4,10,100,1.0,1e-12,1e-12,2.0241819331801023e-10,9.787478605360887e-10,9.696070613074426e-10,4.790118148046782,0.9906607211139756,1.0094273232873536,0.0040750560865157,True,True,fermionic_win,,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,70.0,success,active_tensor,,165.0,16.0,149.0,6.516920701713282,7.2918292229611215,13.808749924674403,0.5280586050683408,0.9030303030303031,0.9498011874888501,0.04671958699729372,0.0034792255138560843,0.9210413913905021,0.051087884980318965,0.027870723629178903,-9.0134042303522,-9.009329174265686,0.004075056086515714
Be-H_1.47_hgbs-5_as-005-007,hamiltonian_generator/library/Be-H/1.47/hgbs-5/Be-H_1.47_hgbs-5_as-005-007.tensors.npz,Be-H,1.47,hgbs-5,5,7,0.4166666666666667,0.1666666666666666,12,100,1.0,1e-12,1e-12,2.0353887464352734e-09,1.9134339668269718e-09,1.0133842653914371e-09,0.4978824154187999,0.5296154886765818,1.8881623014818325,0.2760393223817823,True,True,fermionic_win,,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,23.0,success,active_tensor,,354.0,24.0,330.0,29.136478086883525,15.922679650415908,45.05915773729943,0.35337277592375643,0.9322033898305084,0.9498295577140532,0.04800919241731679,0.002161249868629998,0.8973263894581139,0.08061775215956367,0.022055858382322963,-8.994225843193881,-8.718186520812099,0.27603932238178236
Be-H_1.47_hgbs-5_as-005-009,hamiltonian_generator/library/Be-H/1.47/hgbs-5/Be-H_1.47_hgbs-5_as-005-009.tensors.npz,Be-H,1.47,hgbs-5,5,9,0.3571428571428571,0.2857142857142857,14,100,1.0,1e-12,1e-12,6.756071591063062e-09,6.254790463344761e-09,5.750966369788557e-09,0.8512293412337343,0.9194498846110374,1.0876068579018183,0.0364719373666644,True,True,fermionic_win,,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,55.0,success,active_tensor,,757.0,30.0,727.0,31.959428485426482,21.83837922213722,53.797807707563706,0.4059343707990326,0.9603698811096433,0.9469229918525504,0.0478706099578772,0.005206398189572607,0.844091569400904,0.11589253528608513,0.04001589531301118,-8.240259172040243,-8.20378723467358,0.036471937366664445
Be-H_1.47_hgbs-5_as-005-011,hamiltonian_generator/library/Be-H/1.47/hgbs-5/Be-H_1.47_hgbs-5_as-005-011.tensors.npz,Be-H,1.47,hgbs-5,5,11,0.3125,0.375,16,100,1.0,1e-12,1e-12,3.168675211107086e-09,9.581680449066713e-09,1.101663948954723e-08,3.476733573365567,1.1497606863543743,0.8697462105534058,-0.0606074547785114,True,True,jw_magnitude_win,,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,166.0,success,active_tensor,,1232.0,36.0,1196.0,34.782378883969805,28.877854980347376,63.66023386431718,0.4536247077240787,0.9707792207792207,0.9473858503550038,0.0459313227203718,0.0066828269246247225,0.8023534899092343,0.1413853001849175,0.05626120990584769,-7.957950862264499,-8.018558317043011,-0.060607454778511365
Be-H_1.47_hgbs-5_as-005-013,hamiltonian_generator/library/Be-H/1.47/hgbs-5/Be-H_1.47_hgbs-5_as-005-013.tensors.npz,Be-H,1.47,hgbs-5,5,13,0.2777777777777778,0.4444444444444444,18,100,1.0,1e-12,1e-12,5.835750882532409e-09,1.8275003288437123e-08,1.9166564113604068e-08,3.2843355549966153,1.0487858092879825,0.9534835341440184,-0.0206868024524154,True,True,jw_magnitude_win,,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,142.0,success,active_tensor,,1971.0,46.0,1925.0,36.999471395180684,36.406543556783156,73.40601495196384,0.49596131298786933,0.9766615930999493,0.9266852776712747,0.06658398930200377,0.006730733026722568,0.7738733500505541,0.1554682648940535,0.0706583850553925,-7.717455733769945,-7.738142536222361,-0.020686802452415408
Be-H_1.47_hgbs-5_as-005-015,hamiltonian_generator/library/Be-H/1.47/hgbs-5/Be-H_1.47_hgbs-5_as-005-015.tensors.npz,Be-H,1.47,hgbs-5,5,15,0.25,0.5,20,100,1.0,1e-12,1e-12,3.9564763243404855e-08,7.312344718624075e-08,3.620750721466948e-08,0.9151453021952558,0.4951559124729346,2.019565908050548,0.3052580308338607,True,True,fermionic_win,,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,21.0,success,active_tensor,,3030.0,58.0,2972.0,40.27155415403136,46.753612690621345,87.0251668446527,0.5372424367089178,0.9808580858085808,0.8977392670955417,0.09463518466721556,0.007625548237242968,0.7362372166430625,0.18242092195586465,0.08134186140107443,-7.441201374110904,-7.135943343277043,0.3052580308338607
BeH2_s-1.00_hgbs-5_as-002-002,hamiltonian_generator/polyatomic_library/BeH2/s-1.00/hgbs-5/BeH2_s-1.00_hgbs-5_as-002-002.tensors.npz,BeH2,s-1.00,hgbs-5,2,2,0.5,0.0,4,100,1.0,1e-12,1e-12,3.3568703372566227e-11,3.356681599342437e-11,3.356726008263422e-11,0.9999570048948276,1.0000132300069788,0.999986770168052,-5.7456810188348825e-06,True,True,tie,,analysis/polyatomic_reference_deterministic_ordering.csv,analysis/polyatomic_reference_deterministic_ordering.csv,analysis/polyatomic_reference_deterministic_ordering.csv,110.0,success,reconstructed_from_full_molecular_pickle,,12.0,4.0,8.0,2.254113313604722,1.1158113053824958,3.369924618987218,0.33110868388439996,0.6666666666666666,0.9983539317671205,0.0,0.0016460682328796048,0.9967078635342407,0.0,0.0032921364657592096,-10.474084106459923,-10.474089852140942,-5.7456810188348825e-06
BeH2_s-1.00_hgbs-5_as-002-004,hamiltonian_generator/polyatomic_library/BeH2/s-1.00/hgbs-5/BeH2_s-1.00_hgbs-5_as-002-004.tensors.npz,BeH2,s-1.00,hgbs-5,2,4,0.3333333333333333,0.3333333333333333,6,100,1.0,1e-12,1e-12,4.1359471403268344e-11,6.804501406776353e-11,6.804234953250443e-11,1.6451455307315055,0.999960841579716,1.000039159953726,1.7006618827733566e-05,True,True,tie,,analysis/polyatomic_reference_deterministic_ordering.csv,analysis/polyatomic_reference_deterministic_ordering.csv,analysis/polyatomic_reference_deterministic_ordering.csv,88.0,success,reconstructed_from_full_molecular_pickle,,27.0,6.0,21.0,2.7703860870831836,2.2433638003571694,5.013749887440353,0.4474423038087494,0.7777777777777778,0.9983625468652141,0.0,0.0016374531347855795,0.990810487216019,0.0,0.009189512783980605,-10.167220698419488,-10.16720369180066,1.7006618827733566e-05
BeH2_s-1.00_hgbs-5_as-004-004,hamiltonian_generator/polyatomic_library/BeH2/s-1.00/hgbs-5/BeH2_s-1.00_hgbs-5_as-004-004.tensors.npz,BeH2,s-1.00,hgbs-5,4,4,0.5,0.0,8,100,1.0,1e-12,1e-12,9.109922427530392e-08,9.388585464620292e-10,9.388605448634735e-10,0.0103059115193584,1.0000021285437,0.9999978714608306,-9.244137995964032e-07,True,True,tie,,analysis/polyatomic_reference_deterministic_ordering.csv,analysis/polyatomic_reference_deterministic_ordering.csv,analysis/polyatomic_reference_deterministic_ordering.csv,108.0,success,reconstructed_from_full_molecular_pickle,,48.0,8.0,40.0,8.197258494035708,5.3812418168965594,13.578500310932267,0.3963060495395089,0.8333333333333334,0.9971864886248883,0.0,0.0028135113751117384,0.9326545875036469,0.0,0.06734541249635313,-9.027398911561443,-9.027399835975242,-9.244137995964031e-07
BeH2_s-1.00_hgbs-5_as-004-006,hamiltonian_generator/polyatomic_library/BeH2/s-1.00/hgbs-5/BeH2_s-1.00_hgbs-5_as-004-006.tensors.npz,BeH2,s-1.00,hgbs-5,4,6,0.4,0.2,10,100,1.0,1e-12,1e-12,1.7498542959071273e-07,9.80534986538828e-10,9.838373449255755e-10,0.0056223958030491,1.003367914895525,0.9966433898816908,-0.0014602093022418,True,True,jw_magnitude_win,,analysis/polyatomic_reference_deterministic_ordering.csv,analysis/polyatomic_reference_deterministic_ordering.csv,analysis/polyatomic_reference_deterministic_ordering.csv,120.0,success,active_tensor,,105.0,12.0,93.0,9.092311389628705,7.284238297863379,16.376549687492084,0.44479688559958763,0.8857142857142857,0.9770463848595852,0.02053630795120001,0.0024173071892147537,0.9259798570927305,0.015017218911003207,0.05900292399626638,-9.00707669632509,-9.00853690562733,-0.0014602093022418453
BeH2_s-1.00_hgbs-5_as-004-008,hamiltonian_generator/polyatomic_library/BeH2/s-1.00/hgbs-5/BeH2_s-1.00_hgbs-5_as-004-008.tensors.npz,BeH2,s-1.00,hgbs-5,4,8,0.3333333333333333,0.3333333333333333,12,100,1.0,1e-12,1e-12,1.771948046069838e-07,7.418856862173584e-09,8.313777222213048e-09,0.0469188543120827,1.120627797067009,0.8923569472551678,-0.0494613908988975,True,True,jw_magnitude_win,,analysis/polyatomic_reference_deterministic_ordering.csv,analysis/polyatomic_reference_deterministic_ordering.csv,analysis/polyatomic_reference_deterministic_ordering.csv,160.0,success,active_tensor,,266.0,18.0,248.0,11.08002888507136,11.465964955180707,22.545993840252066,0.5085588613401536,0.9323308270676691,0.9756047645747621,0.018004583090618195,0.006390652334619648,0.8623485518106034,0.08071919605696744,0.05693225213242902,-8.080201617123505,-8.129663008022403,-0.04946139089889754
BeH2_s-1.00_hgbs-5_as-006-008,hamiltonian_generator/polyatomic_library/BeH2/s-1.00/hgbs-5/BeH2_s-1.00_hgbs-5_as-006-008.tensors.npz,BeH2,s-1.00,hgbs-5,6,8,0.4285714285714285,0.1428571428571428,14,100,1.0,1e-12,1e-12,1.84335290809301e-07,8.352204816652886e-09,8.791160577281687e-09,0.0476911422586808,1.0525556748505014,0.9500685083874864,-0.022245077088097,True,True,jw_magnitude_win,,analysis/polyatomic_reference_deterministic_ordering.csv,analysis/polyatomic_reference_deterministic_ordering.csv,analysis/polyatomic_reference_deterministic_ordering.csv,143.0,success,active_tensor,,429.0,22.0,407.0,35.71909133831558,21.093591407371648,56.812682745687226,0.371283142917114,0.9487179487179487,0.979863367073928,0.015625794695790535,0.004510838230281865,0.8754453182190676,0.08508362789471507,0.03947105388621689,-8.055953787151765,-8.078198864239862,-0.022245077088097098
BeH2_s-1.00_hgbs-5_as-006-010,hamiltonian_generator/polyatomic_library/BeH2/s-1.00/hgbs-5/BeH2_s-1.00_hgbs-5_as-006-010.tensors.npz,BeH2,s-1.00,hgbs-5,6,10,0.375,0.25,16,100,1.0,1e-12,1e-12,1.9140152796026658e-07,1.5984710000083172e-08,1.758141843222205e-08,0.0918562073123669,1.0998897341353435,0.9091820470404972,-0.0413491485610406,True,True,jw_magnitude_win,,analysis/polyatomic_reference_deterministic_ordering.csv,analysis/polyatomic_reference_deterministic_ordering.csv,analysis/polyatomic_reference_deterministic_ordering.csv,157.0,success,active_tensor,,728.0,28.0,700.0,39.11411088730853,27.87844844350958,66.99255933081811,0.41614246002816696,0.9615384615384616,0.9800924063578383,0.013862058621605625,0.006045535020555872,0.8337298581665472,0.11877054165372505,0.047499600179726785,-7.754946089874487,-7.796295238435527,-0.04134914856104063
BeH2_s-1.00_hgbs-5_as-006-012,hamiltonian_generator/polyatomic_library/BeH2/s-1.00/hgbs-5/BeH2_s-1.00_hgbs-5_as-006-012.tensors.npz,BeH2,s-1.00,hgbs-5,6,12,0.3333333333333333,0.3333333333333333,18,100,1.0,1e-12,1e-12,1.778333854618453e-07,3.2310002673341394e-08,3.545739735155706e-08,0.1993854936713475,1.0974123929990431,0.9112344697212398,-0.04036986034403,True,True,jw_magnitude_win,,analysis/polyatomic_reference_deterministic_ordering.csv,analysis/polyatomic_reference_deterministic_ordering.csv,analysis/polyatomic_reference_deterministic_ordering.csv,154.0,success,active_tensor,,1131.0,34.0,1097.0,41.8439370206337,35.920421817673756,77.76435883830746,0.46191368840784447,0.9699381078691424,0.9477375980900006,0.04587141174505776,0.006390990164942491,0.8137637340352368,0.11535764377254604,0.07087862219221758,-7.450293145704641,-7.4906630060486705,-0.04036986034403003
BeH2_s-1.00_hgbs-5_as-006-014,hamiltonian_generator/polyatomic_library/BeH2/s-1.00/hgbs-5/BeH2_s-1.00_hgbs-5_as-006-014.tensors.npz,BeH2,s-1.00,hgbs-5,6,14,0.3,0.4,20,100,1.0,1e-12,1e-12,3.001421232662338e-07,7.617367070444915e-08,4.2836995062245364e-08,0.1427223696430235,0.5623596009761853,1.7782216188078344,0.2499858858959619,True,True,fermionic_win,,analysis/polyatomic_reference_deterministic_ordering.csv,analysis/polyatomic_reference_deterministic_ordering.csv,analysis/polyatomic_reference_deterministic_ordering.csv,24.0,success,active_tensor,,1644.0,40.0,1604.0,44.23160090673937,43.16508018523571,87.39668109197507,0.4938983911735661,0.975669099756691,0.9337378298495462,0.059685594342472746,0.006576575807982069,0.7924526771093439,0.13208482755173107,0.07546249533892627,-7.3681810017444045,-7.118195115848443,0.24998588589596188
C-C_1.50_hgbs-5_as-002-002,hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-002-002.tensors.npz,C-C,1.50,hgbs-5,2,2,0.5,0.0,4,100,1.0,1e-12,1e-12,1.065803001409904e-11,1.065669774646949e-11,1.065669774646949e-11,0.9998749986979032,1.0,1.0,0.0,True,True,tie,,analysis/c2_n2_case_study/c2_n2_hgbs-5_baseline_results.csv,analysis/c2_n2_case_study/c2_n2_hgbs-5_baseline_results.csv,analysis/c2_n2_case_study/c2_n2_hgbs-5_baseline_results.csv,96.0,unavailable,unavailable,missing active tensor (hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-002-002.tensors.npz) and full molecular pickle (hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5.pickle),,,,,,,,,,,,,,,,,
C-C_1.50_hgbs-5_as-002-004,hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-002-004.tensors.npz,C-C,1.50,hgbs-5,2,4,0.3333333333333333,0.3333333333333333,6,100,1.0,1e-12,1e-12,1.0827116980749452e-11,1.096611690343252e-11,1.096700508185222e-11,1.0129201616045609,1.0000809929738594,0.9999190135854712,-3.5173377241117884e-05,True,True,tie,,analysis/c2_n2_case_study/c2_n2_hgbs-5_baseline_results.csv,analysis/c2_n2_case_study/c2_n2_hgbs-5_baseline_results.csv,analysis/c2_n2_case_study/c2_n2_hgbs-5_baseline_results.csv,115.0,unavailable,unavailable,missing active tensor (hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-002-004.tensors.npz) and full molecular pickle (hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5.pickle),,,,,,,,,,,,,,,,,
C-C_1.50_hgbs-5_as-004-004,hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-004-004.tensors.npz,C-C,1.50,hgbs-5,4,4,0.5,0.0,8,100,1.0,1e-12,1e-12,2.2326362980606973e-11,3.689726302269491e-11,3.6898151201114615e-11,1.652671831644273,1.000024071661336,0.999975928918095,-1.0454063865624152e-05,True,True,tie,,analysis/c2_n2_case_study/c2_n2_hgbs-5_baseline_results.csv,analysis/c2_n2_case_study/c2_n2_hgbs-5_baseline_results.csv,analysis/c2_n2_case_study/c2_n2_hgbs-5_baseline_results.csv,112.0,unavailable,unavailable,missing active tensor (hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-004-004.tensors.npz) and full molecular pickle (hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5.pickle),,,,,,,,,,,,,,,,,
C-C_1.50_hgbs-5_as-004-006,hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-004-006.tensors.npz,C-C,1.50,hgbs-5,4,6,0.4,0.2,10,100,1.0,1e-12,1e-12,2.5869084652185848e-11,4.4863668335892726e-11,4.591849123158909e-11,1.775033475245485,1.0235117397846056,0.977028363358535,-0.010092828429333,True,True,jw_magnitude_win,,analysis/c2_n2_case_study/c2_n2_hgbs-5_baseline_results.csv,analysis/c2_n2_case_study/c2_n2_hgbs-5_baseline_results.csv,analysis/c2_n2_case_study/c2_n2_hgbs-5_baseline_results.csv,136.0,unavailable,unavailable,missing active tensor (hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-004-006.tensors.npz) and full molecular pickle (hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5.pickle),,,,,,,,,,,,,,,,,
C-C_1.50_hgbs-5_as-004-008,hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-004-008.tensors.npz,C-C,1.50,hgbs-5,4,8,0.3333333333333333,0.3333333333333333,12,100,1.0,1e-12,1e-12,5.1213810969841234e-11,1.3249612518251294e-10,7.892042575008418e-11,1.5409988879085528,0.5956432736532602,1.6788572023431034,0.2250137581560446,True,True,fermionic_win,,analysis/c2_n2_case_study/c2_n2_hgbs-5_baseline_results.csv,analysis/c2_n2_case_study/c2_n2_hgbs-5_baseline_results.csv,analysis/c2_n2_case_study/c2_n2_hgbs-5_baseline_results.csv,27.0,unavailable,unavailable,missing active tensor (hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-004-008.tensors.npz) and full molecular pickle (hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5.pickle),,,,,,,,,,,,,,,,,
C-C_1.50_hgbs-5_as-006-008,hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-006-008.tensors.npz,C-C,1.50,hgbs-5,6,8,0.4285714285714285,0.1428571428571428,14,100,1.0,1e-12,1e-12,2.2944713240491413e-08,2.5216247534487486e-08,2.5177490869943145e-08,1.0973112021949991,0.9984630280738112,1.001539337845242,0.0006680119157684,True,True,fermionic_win,,analysis/c2_n2_case_study/c2_n2_hgbs-5_baseline_results.csv,analysis/c2_n2_case_study/c2_n2_hgbs-5_baseline_results.csv,analysis/c2_n2_case_study/c2_n2_hgbs-5_baseline_results.csv,80.0,unavailable,unavailable,missing active tensor (hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-006-008.tensors.npz) and full molecular pickle (hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5.pickle),,,,,,,,,,,,,,,,,
C-C_1.50_hgbs-5_as-006-010,hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-006-010.tensors.npz,C-C,1.50,hgbs-5,6,10,0.375,0.25,16,100,1.0,1e-12,1e-12,3.5404099096858495e-08,4.7945307724006625e-08,4.7707500838711794e-08,1.347513481650632,0.9950400383982568,1.004984685450173,0.0021594437712752,True,True,fermionic_win,,analysis/c2_n2_case_study/c2_n2_hgbs-5_baseline_results.csv,analysis/c2_n2_case_study/c2_n2_hgbs-5_baseline_results.csv,analysis/c2_n2_case_study/c2_n2_hgbs-5_baseline_results.csv,76.0,unavailable,unavailable,missing active tensor (hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5_as-006-010.tensors.npz) and full molecular pickle (hamiltonian_generator/comparable_diatomic_library/C-C/1.50/hgbs-5/C-C_1.50_hgbs-5.pickle),,,,,,,,,,,,,,,,,
