specification,fixed_effects,outcome,outcome_label,feature,feature_label,feature_family,cases,molecules,active_space_sizes,n_controls,pearson_r,pearson_p_value,spearman_rho_on_analysis_values,spearman_p_value_on_analysis_values,pearson_fdr_q_value,cluster_bootstrap_95ci_low,cluster_bootstrap_95ci_high,cluster_bootstrap_valid_replicates,leave_one_molecule_out_r_min,leave_one_molecule_out_r_max
molecule_and_active_size_adjusted,molecule+n_qubits,log10_fermionic_error,log10 fermionic Trotter error,two_body_parent_fraction,Two-body share of parent count,unweighted_sensitivity,85,11,9,18,-0.1385284794884896,0.2635815509533473,-0.15563806918116083,0.15492472117758638,0.35144206793779637,-0.5150125425313036,0.2057310812631265,2000,-0.23275414253196067,0.014228519023115725
molecule_and_active_size_adjusted,molecule+n_qubits,log10_fermionic_error,log10 fermionic Trotter error,two_body_excitation_rank0_weighted_fraction,Rank-0 share within two-body |coefficient| mass,excitation_composition,85,11,9,18,-0.618258926075159,2.478945290699885e-08,-0.6213210865741646,2.2274499825797721e-10,1.983156232559908e-07,-0.7898497881485866,-0.37431221672310966,2000,-0.6704134968994175,-0.5460815710534201
molecule_and_active_size_adjusted,molecule+n_qubits,log10_fermionic_error,log10 fermionic Trotter error,two_body_excitation_rank1_weighted_fraction,Rank-1 share within two-body |coefficient| mass,excitation_composition,85,11,9,18,0.5786392823172489,2.916039468436846e-07,0.5926128590971272,2.3025782093479747e-09,1.1664157873747383e-06,0.3229120025221605,0.7760954223813348,2000,0.5038107613908086,0.6386076844619998
molecule_and_active_size_adjusted,molecule+n_qubits,log10_fermionic_error,log10 fermionic Trotter error,two_body_excitation_rank2_weighted_fraction,Rank-2 share within two-body |coefficient| mass,excitation_composition,85,11,9,18,0.5233040068530436,5.529474350908357e-06,0.5325190541332812,1.5567526311058865e-07,1.4745264935755619e-05,0.29890271961822007,0.7620806951200556,2000,0.4619554000930002,0.603561805420516
molecule_and_active_size_adjusted,molecule+n_qubits,log10_fermionic_error,log10 fermionic Trotter error,two_body_support2_weighted_fraction,Two-orbital share within two-body |coefficient| mass,support_composition,85,11,9,18,-0.17736386390791506,0.15103743726737284,-0.17119405901895643,0.11721972918580323,0.24165989962779655,-0.5406933713084291,0.2262112388729198,2000,-0.3132953523074994,-0.0018281604131492088
molecule_and_active_size_adjusted,molecule+n_qubits,log10_fermionic_error,log10 fermionic Trotter error,two_body_support3_weighted_fraction,Three-orbital share within two-body |coefficient| mass,support_composition,85,11,9,18,0.2731011658335482,0.025348255124699452,0.29593511823333984,0.005961848528312057,0.050696510249398904,-0.1249799605242549,0.6077607929676871,2000,0.15867672752249623,0.37240879614255357
molecule_and_active_size_adjusted,molecule+n_qubits,log10_fermionic_error,log10 fermionic Trotter error,two_body_support4_weighted_fraction,Four-orbital share within two-body |coefficient| mass,support_composition,85,11,9,18,0.0021827543246293185,0.9860134831183286,0.13021301543873362,0.23491440835995225,0.9860134831183286,-0.372358547945078,0.6117484103972188,2000,-0.11685135743086879,0.3835565693397899
raw,none,log10_jw_magnitude_error,log10 JW-magnitude Trotter error,two_body_coefficient_mass_fraction,Two-body share of total parent |coefficient| mass,primary_total_fraction,85,11,9,0,0.2722486140442505,0.011713806041831091,0.3022669532929451,0.004929752999186619,0.011713806041831091,,,0,,
raw,none,log10_jw_magnitude_error,log10 JW-magnitude Trotter error,two_body_parent_fraction,Two-body share of parent count,unweighted_sensitivity,85,11,9,0,0.6308241784056386,9.746308313576477e-11,0.7058093648076562,4.5773249489496774e-14,3.898523325430591e-10,,,0,,
raw,none,log10_jw_magnitude_error,log10 JW-magnitude Trotter error,two_body_excitation_rank0_weighted_fraction,Rank-0 share within two-body |coefficient| mass,excitation_composition,85,11,9,0,-0.6022378708824201,1.0796974689747779e-09,-0.578639828024233,6.620980116340417e-09,2.1593949379495558e-09,,,0,,
raw,none,log10_jw_magnitude_error,log10 JW-magnitude Trotter error,two_body_excitation_rank1_weighted_fraction,Rank-1 share within two-body |coefficient| mass,excitation_composition,85,11,9,0,0.5513896502855574,4.5301645577376005e-08,0.5344804549125994,1.3740821006030115e-07,7.248263292380161e-08,,,0,,
raw,none,log10_jw_magnitude_error,log10 JW-magnitude Trotter error,two_body_excitation_rank2_weighted_fraction,Rank-2 share within two-body |coefficient| mass,excitation_composition,85,11,9,0,0.48680401886039854,2.3113725828429823e-06,0.5820207152628494,5.15125150739622e-09,3.0818301104573097e-06,,,0,,
raw,none,log10_jw_magnitude_error,log10 JW-magnitude Trotter error,two_body_support2_weighted_fraction,Two-orbital share within two-body |coefficient| mass,support_composition,85,11,9,0,-0.7214512936011059,6.781507679869023e-15,-0.6965800273597811,1.3335991851465957e-13,5.425206143895218e-14,,,0,,
raw,none,log10_jw_magnitude_error,log10 JW-magnitude Trotter error,two_body_support3_weighted_fraction,Three-orbital share within two-body |coefficient| mass,support_composition,85,11,9,0,0.6208328321427649,2.3223372764306478e-10,0.6583981117499338,7.487489097603165e-12,6.192899403815061e-10,,,0,,
raw,none,log10_jw_magnitude_error,log10 JW-magnitude Trotter error,two_body_support4_weighted_fraction,Four-orbital share within two-body |coefficient| mass,support_composition,85,11,9,0,0.4083276214648387,0.00010472223701980259,0.5525503224545633,4.1884304498830485e-08,0.0001196825565940601,,,0,,
active_size_adjusted,n_qubits,log10_jw_magnitude_error,log10 JW-magnitude Trotter error,two_body_coefficient_mass_fraction,Two-body share of total parent |coefficient| mass,primary_total_fraction,85,11,9,8,0.06909346030592109,0.5504471955160911,0.07416454954074653,0.4999495151856378,0.629082509161247,,,0,,
active_size_adjusted,n_qubits,log10_jw_magnitude_error,log10 JW-magnitude Trotter error,two_body_parent_fraction,Two-body share of parent count,unweighted_sensitivity,85,11,9,8,-0.25097291439417907,0.027691887393432636,-0.26022022571733155,0.016164401058799918,0.11076754957373054,,,0,,
active_size_adjusted,n_qubits,log10_jw_magnitude_error,log10 JW-magnitude Trotter error,two_body_excitation_rank0_weighted_fraction,Rank-0 share within two-body |coefficient| mass,excitation_composition,85,11,9,8,-0.1865535602803253,0.10426457472162101,-0.1692202462380301,0.12156882113374219,0.20975941103151008,,,0,,
active_size_adjusted,n_qubits,log10_jw_magnitude_error,log10 JW-magnitude Trotter error,two_body_excitation_rank1_weighted_fraction,Rank-1 share within two-body |coefficient| mass,excitation_composition,85,11,9,8,0.08884753954175503,0.4422475438735827,0.046177301928318586,0.6747381594803336,0.5896633918314437,,,0,,
active_size_adjusted,n_qubits,log10_jw_magnitude_error,log10 JW-magnitude Trotter error,two_body_excitation_rank2_weighted_fraction,Rank-2 share within two-body |coefficient| mass,excitation_composition,85,11,9,8,0.50958348628594,2.2092296236676267e-06,0.546609341410983,6.238046820843194e-08,1.7673836989341013e-05,,,0,,
active_size_adjusted,n_qubits,log10_jw_magnitude_error,log10 JW-magnitude Trotter error,two_body_support2_weighted_fraction,Two-orbital share within two-body |coefficient| mass,support_composition,85,11,9,8,-0.18622888100798435,0.10487970551575504,-0.16697283564588628,0.12667041499768783,0.20975941103151008,,,0,,
active_size_adjusted,n_qubits,log10_jw_magnitude_error,log10 JW-magnitude Trotter error,two_body_support3_weighted_fraction,Three-orbital share within two-body |coefficient| mass,support_composition,85,11,9,8,0.17141954499161113,0.13605208829758705,0.08166057578922503,0.4575009901447494,0.21768334127613928,,,0,,
active_size_adjusted,n_qubits,log10_jw_magnitude_error,log10 JW-magnitude Trotter error,two_body_support4_weighted_fraction,Four-orbital share within two-body |coefficient| mass,support_composition,85,11,9,8,0.028938941207166998,0.8027134195688541,0.12577682235684973,0.2513827609860041,0.8027134195688541,,,0,,
molecule_and_active_size_adjusted,molecule+n_qubits,log10_jw_magnitude_error,log10 JW-magnitude Trotter error,two_body_coefficient_mass_fraction,Two-body share of total parent |coefficient| mass,primary_total_fraction,85,11,9,18,-0.15107396258033706,0.2223356940056302,-0.1446159859292554,0.18666620756841354,0.2964475920075069,-0.3966028625359983,0.11298291104642648,2000,-0.20334056862876607,-0.07796263066750546
molecule_and_active_size_adjusted,molecule+n_qubits,log10_jw_magnitude_error,log10 JW-magnitude Trotter error,two_body_parent_fraction,Two-body share of parent count,unweighted_sensitivity,85,11,9,18,-0.11499333313865517,0.35412061564537795,-0.17781903459058043,0.10349508442775864,0.4047092750232891,-0.45733260067053433,0.13747125457606713,2000,-0.21591828564219953,0.00755376793608514
molecule_and_active_size_adjusted,molecule+n_qubits,log10_jw_magnitude_error,log10 JW-magnitude Trotter error,two_body_excitation_rank0_weighted_fraction,Rank-0 share within two-body |coefficient| mass,excitation_composition,85,11,9,18,-0.2326001491519328,0.05820462256735998,-0.2435020519835841,0.024726152627061203,0.15124674416112963,-0.5685570406108754,0.1684181273101004,2000,-0.39885222970313955,-0.13308475308343795
molecule_and_active_size_adjusted,molecule+n_qubits,log10_jw_magnitude_error,log10 JW-magnitude Trotter error,two_body_excitation_rank1_weighted_fraction,Rank-1 share within two-body |coefficient| mass,excitation_composition,85,11,9,18,0.218534928806765,0.07562337208056481,0.2383818643736564,0.02801986832603255,0.15124674416112963,-0.1779351334810945,0.5688579276285959,2000,0.11678697077896485,0.37819948724602936
molecule_and_active_size_adjusted,molecule+n_qubits,log10_jw_magnitude_error,log10 JW-magnitude Trotter error,two_body_excitation_rank2_weighted_fraction,Rank-2 share within two-body |coefficient| mass,excitation_composition,85,11,9,18,0.19059084423118872,0.12237201886053235,0.14266171584913034,0.19275409482408887,0.19579523017685177,-0.13269302513162995,0.4515770301597593,2000,0.10585582255411025,0.28164840026425736
molecule_and_active_size_adjusted,molecule+n_qubits,log10_jw_magnitude_error,log10 JW-magnitude Trotter error,two_body_support2_weighted_fraction,Two-orbital share within two-body |coefficient| mass,support_composition,85,11,9,18,-0.32807880589063876,0.006720936504176523,-0.2488176666015243,0.021660999121757278,0.02688374601670609,-0.603270334343274,0.031481479387581765,2000,-0.3980362457027358,-0.18261986467802105
molecule_and_active_size_adjusted,molecule+n_qubits,log10_jw_magnitude_error,log10 JW-magnitude Trotter error,two_body_support3_weighted_fraction,Three-orbital share within two-body |coefficient| mass,support_composition,85,11,9,18,-0.04181478513690092,0.7368900047277492,-0.08127809263240181,0.459617654250836,0.7368900047277492,-0.42714156404172,0.39927735065367775,2000,-0.23650074023291862,0.07347839489047564
molecule_and_active_size_adjusted,molecule+n_qubits,log10_jw_magnitude_error,log10 JW-magnitude Trotter error,two_body_support4_weighted_fraction,Four-orbital share within two-body |coefficient| mass,support_composition,85,11,9,18,0.43540392232945696,0.00023105152562246886,0.45575532538596836,1.1702438064258317e-05,0.0018484122049797509,0.21460541323256316,0.6829375261718433,2000,0.36359436321632266,0.5493230002362587
raw,none,log10_jw_magnitude_to_fermionic_advantage,log10(JW-magnitude / fermionic error),two_body_coefficient_mass_fraction,Two-body share of total parent |coefficient| mass,primary_total_fraction,85,11,9,0,-0.11616455362583186,0.28972911352816255,-0.13603939888075428,0.21444642692107754,0.3370191810416051,,,0,,
raw,none,log10_jw_magnitude_to_fermionic_advantage,log10(JW-magnitude / fermionic error),two_body_parent_fraction,Two-body share of parent count,unweighted_sensitivity,85,11,9,0,0.31480546680393856,0.0033420798785139963,0.3543435369510541,0.0008773341828931507,0.008912213009370657,,,0,,
raw,none,log10_jw_magnitude_to_fermionic_advantage,log10(JW-magnitude / fermionic error),two_body_excitation_rank0_weighted_fraction,Rank-0 share within two-body |coefficient| mass,excitation_composition,85,11,9,0,-0.10540459577478797,0.3370191810416051,-0.16597940162250335,0.12897697541139402,0.3370191810416051,,,0,,
raw,none,log10_jw_magnitude_to_fermionic_advantage,log10(JW-magnitude / fermionic error),two_body_excitation_rank1_weighted_fraction,Rank-1 share within two-body |coefficient| mass,excitation_composition,85,11,9,0,0.13737057698519334,0.2099528527173624,0.18935415210501436,0.0826257434655517,0.33592456434777984,,,0,,
raw,none,log10_jw_magnitude_to_fermionic_advantage,log10(JW-magnitude / fermionic error),two_body_excitation_rank2_weighted_fraction,Rank-2 share within two-body |coefficient| mass,excitation_composition,85,11,9,0,-0.17396632903314974,0.11131505419775321,-0.16703472808990183,0.12652776294181015,0.22263010839550643,,,0,,
raw,none,log10_jw_magnitude_to_fermionic_advantage,log10(JW-magnitude / fermionic error),two_body_support2_weighted_fraction,Two-orbital share within two-body |coefficient| mass,support_composition,85,11,9,0,-0.4023377070393504,0.0001350374794721739,-0.3673708691510442,0.0005429551858033265,0.0005401499178886956,,,0,,
raw,none,log10_jw_magnitude_to_fermionic_advantage,log10(JW-magnitude / fermionic error),two_body_support3_weighted_fraction,Three-orbital share within two-body |coefficient| mass,support_composition,85,11,9,0,0.11050219889050499,0.31403916098071477,0.040360784741372314,0.7138070150725571,0.3370191810416051,,,0,,
raw,none,log10_jw_magnitude_to_fermionic_advantage,log10(JW-magnitude / fermionic error),two_body_support4_weighted_fraction,Four-orbital share within two-body |coefficient| mass,support_composition,85,11,9,0,0.4342397686467958,3.2933880316695304e-05,0.35660263056703384,0.000808446945432866,0.00026347104253356243,,,0,,
active_size_adjusted,n_qubits,log10_jw_magnitude_to_fermionic_advantage,log10(JW-magnitude / fermionic error),two_body_coefficient_mass_fraction,Two-body share of total parent |coefficient| mass,primary_total_fraction,85,11,9,8,-0.3485070773279744,0.001895611721019491,-0.2640805159273012,0.014599084333230494,0.008589976258528262,,,0,,
active_size_adjusted,n_qubits,log10_jw_magnitude_to_fermionic_advantage,log10(JW-magnitude / fermionic error),two_body_parent_fraction,Two-body share of parent count,unweighted_sensitivity,85,11,9,8,0.010501926018452377,0.9277713379237006,-0.036311390096528826,0.741455489856327,0.9277713379237006,,,0,,
active_size_adjusted,n_qubits,log10_jw_magnitude_to_fermionic_advantage,log10(JW-magnitude / fermionic error),two_body_excitation_rank0_weighted_fraction,Rank-0 share within two-body |coefficient| mass,excitation_composition,85,11,9,8,0.321982668413261,0.004294988129264131,0.07396912253273402,0.5010829561578246,0.008589976258528262,,,0,,
active_size_adjusted,n_qubits,log10_jw_magnitude_to_fermionic_advantage,log10(JW-magnitude / fermionic error),two_body_excitation_rank1_weighted_fraction,Rank-1 share within two-body |coefficient| mass,excitation_composition,85,11,9,8,-0.26718955685164764,0.018818290729832914,-0.05720121654739655,0.6030727723856476,0.025091054306443886,,,0,,
active_size_adjusted,n_qubits,log10_jw_magnitude_to_fermionic_advantage,log10(JW-magnitude / fermionic error),two_body_excitation_rank2_weighted_fraction,Rank-2 share within two-body |coefficient| mass,excitation_composition,85,11,9,8,-0.3244911166854859,0.003987231840763106,-0.2918702364666797,0.006721161009542639,0.008589976258528262,,,0,,
active_size_adjusted,n_qubits,log10_jw_magnitude_to_fermionic_advantage,log10(JW-magnitude / fermionic error),two_body_support2_weighted_fraction,Two-orbital share within two-body |coefficient| mass,support_composition,85,11,9,8,-0.059716702442742624,0.6059230016655986,0.10418213797146765,0.34268393154131643,0.6924834304749699,,,0,,
active_size_adjusted,n_qubits,log10_jw_magnitude_to_fermionic_advantage,log10(JW-magnitude / fermionic error),two_body_support3_weighted_fraction,Three-orbital share within two-body |coefficient| mass,support_composition,85,11,9,8,-0.33496207140994844,0.0029038629772535096,-0.20211872049697846,0.06358950967475002,0.008589976258528262,,,0,,
active_size_adjusted,n_qubits,log10_jw_magnitude_to_fermionic_advantage,log10(JW-magnitude / fermionic error),two_body_support4_weighted_fraction,Four-orbital share within two-body |coefficient| mass,support_composition,85,11,9,8,0.29294346143847755,0.00972346230720924,0.05092827828805941,0.643447529731003,0.015557539691534783,,,0,,
molecule_and_active_size_adjusted,molecule+n_qubits,log10_jw_magnitude_to_fermionic_advantage,log10(JW-magnitude / fermionic error),two_body_coefficient_mass_fraction,Two-body share of total parent |coefficient| mass,primary_total_fraction,85,11,9,18,-0.1793429151435088,0.14645656957978812,-0.19437170216923977,0.07466324398844311,0.29291313915957623,-0.4621319453167428,0.0703091690230261,2000,-0.2522159511851546,-0.09878570673203076
molecule_and_active_size_adjusted,molecule+n_qubits,log10_jw_magnitude_to_fermionic_advantage,log10(JW-magnitude / fermionic error),two_body_parent_fraction,Two-body share of parent count,unweighted_sensitivity,85,11,9,18,-0.04704724883526753,0.7053855452950701,-0.15104553449286692,0.1676225989710216,0.7053855452950701,-0.36653209475743637,0.11759347653182872,2000,-0.17078213470713086,-4.0252678527376104e-05
molecule_and_active_size_adjusted,molecule+n_qubits,log10_jw_magnitude_to_fermionic_advantage,log10(JW-magnitude / fermionic error),two_body_excitation_rank0_weighted_fraction,Rank-0 share within two-body |coefficient| mass,excitation_composition,85,11,9,18,0.13091652308587215,0.2909752853756494,0.06023060386945476,0.5839842459848792,0.38829837405536055,-0.2783379620585502,0.4597849449218353,2000,-0.09366053406762102,0.2320532878239071
molecule_and_active_size_adjusted,molecule+n_qubits,log10_jw_magnitude_to_fermionic_advantage,log10(JW-magnitude / fermionic error),two_body_excitation_rank1_weighted_fraction,Rank-1 share within two-body |coefficient| mass,excitation_composition,85,11,9,18,-0.12150614983216496,0.3273383481233846,-0.03926128590971272,0.721279501124165,0.38829837405536055,-0.4639732899743624,0.2826332966310318,2000,-0.22111534807603522,0.09845258885936933
molecule_and_active_size_adjusted,molecule+n_qubits,log10_jw_magnitude_to_fermionic_advantage,log10(JW-magnitude / fermionic error),two_body_excitation_rank2_weighted_fraction,Rank-2 share within two-body |coefficient| mass,excitation_composition,85,11,9,18,-0.11844532096736564,0.33976107729844046,-0.19429353136603478,0.07478239538804458,0.38829837405536055,-0.41617650725665645,0.18954593776132847,2000,-0.17292998845154145,-0.0036323610264107947
molecule_and_active_size_adjusted,molecule+n_qubits,log10_jw_magnitude_to_fermionic_advantage,log10(JW-magnitude / fermionic error),two_body_support2_weighted_fraction,Two-orbital share within two-body |coefficient| mass,support_composition,85,11,9,18,-0.2799261656670143,0.021776187886982042,-0.17000195427008014,0.11983182441269859,0.08710475154792817,-0.528141768829215,0.06929667513101326,2000,-0.3508156464132268,-0.18720634248887227
molecule_and_active_size_adjusted,molecule+n_qubits,log10_jw_magnitude_to_fermionic_advantage,log10(JW-magnitude / fermionic error),two_body_support3_weighted_fraction,Three-orbital share within two-body |coefficient| mass,support_composition,85,11,9,18,-0.23343755640654912,0.05728007542205666,-0.24610123119015048,0.02318417547343076,0.1527468677921511,-0.5952430123086679,0.20659818821406278,2000,-0.3818728282845787,-0.03633644936482794
molecule_and_active_size_adjusted,molecule+n_qubits,log10_jw_magnitude_to_fermionic_advantage,log10(JW-magnitude / fermionic error),two_body_support4_weighted_fraction,Four-orbital share within two-body |coefficient| mass,support_composition,85,11,9,18,0.5274579799349787,4.513030192409777e-06,0.45018565565761187,1.5400250163809042e-05,3.6104241539278215e-05,0.18285124690684917,0.6900624673567096,2000,0.39105965795161646,0.6230344771610353
