case_id,molecule,basis,bond_length,active_occupied,active_vacant,n_qubits,evolution_times,formula_orders,trotter_steps,orderings,factorization_levels,observed_rows,unique_grid_rows,expected_rows_from_global_grid,missing_rows_from_global_grid,grid_complete,status,error_message,output_path
H-H_0.51_sto-6g_as-002-002,H-H,sto-6g,0.51,2,2,4,[1.0],[1],"[10, 100, 1000]","[""fermionic_coloring"", ""fermionic_term_coloring"", ""jw_coloring"", ""jw_raw""]","[""fermionic_term"", ""pauli_string""]",12,12,12,0,True,generated,,analysis/l_sweep_20case_all_figures/cases/H-H/case_H-H_0.51_sto-6g_as-002-002_state_infidelity.png
H-H_0.61_sto-6g_as-002-002,H-H,sto-6g,0.61,2,2,4,[1.0],[1],"[10, 100, 1000]","[""fermionic_coloring"", ""fermionic_term_coloring"", ""jw_coloring"", ""jw_raw""]","[""fermionic_term"", ""pauli_string""]",12,12,12,0,True,generated,,analysis/l_sweep_20case_all_figures/cases/H-H/case_H-H_0.61_sto-6g_as-002-002_state_infidelity.png
H-H_0.70_sto-6g_as-002-002,H-H,sto-6g,0.7,2,2,4,[1.0],[1],"[10, 100, 1000]","[""fermionic_coloring"", ""fermionic_term_coloring"", ""jw_coloring"", ""jw_raw""]","[""fermionic_term"", ""pauli_string""]",12,12,12,0,True,generated,,analysis/l_sweep_20case_all_figures/cases/H-H/case_H-H_0.70_sto-6g_as-002-002_state_infidelity.png
H-H_0.80_sto-6g_as-002-002,H-H,sto-6g,0.8,2,2,4,[1.0],[1],"[10, 100, 1000]","[""fermionic_coloring"", ""fermionic_term_coloring"", ""jw_coloring"", ""jw_raw""]","[""fermionic_term"", ""pauli_string""]",12,12,12,0,True,generated,,analysis/l_sweep_20case_all_figures/cases/H-H/case_H-H_0.80_sto-6g_as-002-002_state_infidelity.png
H-H_0.90_sto-6g_as-002-002,H-H,sto-6g,0.9,2,2,4,[1.0],[1],"[10, 100, 1000]","[""fermionic_coloring"", ""fermionic_term_coloring"", ""jw_coloring"", ""jw_raw""]","[""fermionic_term"", ""pauli_string""]",12,12,12,0,True,generated,,analysis/l_sweep_20case_all_figures/cases/H-H/case_H-H_0.90_sto-6g_as-002-002_state_infidelity.png
Li-H_1.32_sto-6g_as-002-002,Li-H,sto-6g,1.32,2,2,4,[1.0],[1],"[10, 100, 1000]","[""fermionic_coloring"", ""fermionic_term_coloring"", ""jw_coloring"", ""jw_raw""]","[""fermionic_term"", ""pauli_string""]",12,12,12,0,True,generated,,analysis/l_sweep_20case_all_figures/cases/Li-H/case_Li-H_1.32_sto-6g_as-002-002_state_infidelity.png
Li-H_1.57_sto-6g_as-002-002,Li-H,sto-6g,1.57,2,2,4,[1.0],[1],"[10, 100, 1000]","[""fermionic_coloring"", ""fermionic_term_coloring"", ""jw_coloring"", ""jw_raw""]","[""fermionic_term"", ""pauli_string""]",12,12,12,0,True,generated,,analysis/l_sweep_20case_all_figures/cases/Li-H/case_Li-H_1.57_sto-6g_as-002-002_state_infidelity.png
Li-H_1.81_sto-6g_as-002-002,Li-H,sto-6g,1.81,2,2,4,[1.0],[1],"[10, 100, 1000]","[""fermionic_coloring"", ""fermionic_term_coloring"", ""jw_coloring"", ""jw_raw""]","[""fermionic_term"", ""pauli_string""]",12,12,12,0,True,generated,,analysis/l_sweep_20case_all_figures/cases/Li-H/case_Li-H_1.81_sto-6g_as-002-002_state_infidelity.png
Li-H_2.06_sto-6g_as-002-002,Li-H,sto-6g,2.06,2,2,4,[1.0],[1],"[10, 100, 1000]","[""fermionic_coloring"", ""fermionic_term_coloring"", ""jw_coloring"", ""jw_raw""]","[""fermionic_term"", ""pauli_string""]",12,12,12,0,True,generated,,analysis/l_sweep_20case_all_figures/cases/Li-H/case_Li-H_2.06_sto-6g_as-002-002_state_infidelity.png
Li-H_2.31_sto-6g_as-002-002,Li-H,sto-6g,2.31,2,2,4,[1.0],[1],"[10, 100, 1000]","[""fermionic_coloring"", ""fermionic_term_coloring"", ""jw_coloring"", ""jw_raw""]","[""fermionic_term"", ""pauli_string""]",12,12,12,0,True,generated,,analysis/l_sweep_20case_all_figures/cases/Li-H/case_Li-H_2.31_sto-6g_as-002-002_state_infidelity.png
