molecule,L,basis,active_occupied,active_vacant,qubits,scheme,vertices,noncommuting_edges,colors,order,steps,spectral_error,reconstruction_error,file
B-B,1.36,hgbs-5,2,4,6,fermionic_commutation_then_JW,55,360,4,2,1,0.006669373837019111,4.263256414560601e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-004_jw.dat
B-B,1.36,hgbs-5,2,4,6,fermionic_commutation_then_JW,55,360,4,2,2,0.001726149542279127,4.263256414560601e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-004_jw.dat
B-B,1.36,hgbs-5,2,4,6,fermionic_commutation_then_JW,55,360,4,2,5,0.0002788646346559308,4.263256414560601e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-004_jw.dat
B-B,1.36,hgbs-5,2,4,6,fermionic_commutation_then_JW,55,360,4,2,10,6.98123132732002e-05,4.263256414560601e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-004_jw.dat
B-B,1.36,hgbs-5,2,4,6,JW_Pauli_string_commutation,34,168,3,1,1,0.01833491391422449,4.263256414560601e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-004_jw.dat
B-B,1.36,hgbs-5,2,4,6,JW_Pauli_string_commutation,34,168,3,1,2,0.009272066057925063,4.263256414560601e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-004_jw.dat
B-B,1.36,hgbs-5,2,4,6,JW_Pauli_string_commutation,34,168,3,1,5,0.003720090379089423,4.263256414560601e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-004_jw.dat
B-B,1.36,hgbs-5,2,4,6,JW_Pauli_string_commutation,34,168,3,1,10,0.001860756074969477,4.263256414560601e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-004_jw.dat
B-B,1.36,hgbs-5,2,4,6,JW_Pauli_string_commutation,34,168,3,2,1,0.0013857062563114786,4.263256414560601e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-004_jw.dat
B-B,1.36,hgbs-5,2,4,6,JW_Pauli_string_commutation,34,168,3,2,2,0.0003483045387886768,4.263256414560601e-14,/Users/albertlee0125/Repos/qhat/demo_L_sweep_library/B-B/1.36/hgbs-5/B-B_1.36_hgbs-5_as-002-004_jw.dat
