config_path,tensor_path,molecule,bond_length,basis,active_occupied,active_vacant,n_qubits,status,error
hamiltonian_generator/extended_diatomic_20q_library/F-F/1.28/sto-6g/F-F_1.28_sto-6g_as-012-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/extended_diatomic_20q_library/F-F/1.28/sto-6g/F-F_1.28_sto-6g_as-012-002.tensors.npz,F-F,1.28,sto-6g,12,2,14,success,
hamiltonian_generator/extended_diatomic_20q_library/F-F/1.28/sto-6g/F-F_1.28_sto-6g_as-014-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/extended_diatomic_20q_library/F-F/1.28/sto-6g/F-F_1.28_sto-6g_as-014-002.tensors.npz,F-F,1.28,sto-6g,14,2,16,success,
hamiltonian_generator/extended_diatomic_20q_library/F-F/1.28/sto-6g/F-F_1.28_sto-6g_as-016-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/extended_diatomic_20q_library/F-F/1.28/sto-6g/F-F_1.28_sto-6g_as-016-002.tensors.npz,F-F,,sto-6g,16,2,18,skipped,
hamiltonian_generator/extended_diatomic_20q_library/F-F/1.28/sto-6g/F-F_1.28_sto-6g_as-018-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/extended_diatomic_20q_library/F-F/1.28/sto-6g/F-F_1.28_sto-6g_as-018-002.tensors.npz,F-F,,sto-6g,18,2,20,skipped,
hamiltonian_generator/extended_diatomic_20q_library/Li-Li/2.66/sto-6g/Li-Li_2.66_sto-6g_as-006-002_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/extended_diatomic_20q_library/Li-Li/2.66/sto-6g/Li-Li_2.66_sto-6g_as-006-002.tensors.npz,Li-Li,2.66,sto-6g,6,2,8,success,
hamiltonian_generator/extended_diatomic_20q_library/Li-Li/2.66/sto-6g/Li-Li_2.66_sto-6g_as-006-004_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/extended_diatomic_20q_library/Li-Li/2.66/sto-6g/Li-Li_2.66_sto-6g_as-006-004.tensors.npz,Li-Li,2.66,sto-6g,6,4,10,success,
hamiltonian_generator/extended_diatomic_20q_library/Li-Li/2.66/sto-6g/Li-Li_2.66_sto-6g_as-006-006_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/extended_diatomic_20q_library/Li-Li/2.66/sto-6g/Li-Li_2.66_sto-6g_as-006-006.tensors.npz,Li-Li,2.66,sto-6g,6,6,12,success,
hamiltonian_generator/extended_diatomic_20q_library/Li-Li/2.66/sto-6g/Li-Li_2.66_sto-6g_as-006-008_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/extended_diatomic_20q_library/Li-Li/2.66/sto-6g/Li-Li_2.66_sto-6g_as-006-008.tensors.npz,Li-Li,2.66,sto-6g,6,8,14,success,
hamiltonian_generator/extended_diatomic_20q_library/Li-Li/2.66/sto-6g/Li-Li_2.66_sto-6g_as-006-010_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/extended_diatomic_20q_library/Li-Li/2.66/sto-6g/Li-Li_2.66_sto-6g_as-006-010.tensors.npz,Li-Li,2.66,sto-6g,6,10,16,success,
hamiltonian_generator/extended_diatomic_20q_library/Li-Li/2.66/sto-6g/Li-Li_2.66_sto-6g_as-006-012_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/extended_diatomic_20q_library/Li-Li/2.66/sto-6g/Li-Li_2.66_sto-6g_as-006-012.tensors.npz,Li-Li,,sto-6g,6,12,18,skipped,
hamiltonian_generator/extended_diatomic_20q_library/Li-Li/2.66/sto-6g/Li-Li_2.66_sto-6g_as-006-014_JW.config,/Users/a_lee/Repos/qhat/hamiltonian_generator/extended_diatomic_20q_library/Li-Li/2.66/sto-6g/Li-Li_2.66_sto-6g_as-006-014.tensors.npz,Li-Li,,sto-6g,6,14,20,skipped,
