# number of frozen, occupied, single-occupancy orbitals = 2
# number of active, occupied, single-occupancy orbitals = 4
# number of active, vacant, single-occupancy orbitals = 8
# number of frozen, vacant, single-occupancy orbitals = 6
# size of active space = 12
# number of qubits = 12
# basis set = sto-6g
# interatomic separation (angstroms) = 1.596
# fermion-to-qubit operator mapping = bravyi-kitaev
# number of terms in sum of Pauli strings = 327
# one-norm of sum of Pauli strings (Hartrees) = 21.312654515343823
# eigenvalue lower bound from shifted one-norm (Hartrees) = -21.312654515343823
# eigenvalue upper bound from shifted one-norm (Hartrees) = -1.8495345334438156
# Hartree-Fock energy (Hartrees) = -14.721751565021146
# runtime for Hartree-Fock calculation (seconds) = 0.43511128425598145
# runtime for active space calculation (seconds) = 0.0025081634521484375
# runtime for fermion-to-qubit calculation (seconds) = 0.019158124923706055
 9.70110348819934742e-01 ZIIIIIIIIIII
-2.30851437756019687e-03+0.00000000000000000e+00j XXIXIIZYYXIX
1.28627738845339245e-03+0.00000000000000000e+00j IYIXIIZYZXIX
-1.28627738845339245e-03+0.00000000000000000e+00j ZXIXIIZYIYIX
-5.86390382746409481e-03+0.00000000000000000e+00j IZYXIIZYIZXX
5.86390382746409481e-03+0.00000000000000000e+00j IZXXIIZYIZYX
-9.53586880539854936e-03+0.00000000000000000e+00j IIIYIIZYIZZX
9.53586880539854936e-03+0.00000000000000000e+00j IZZXIIZYIIIY
1.28627738845339245e-03+0.00000000000000000e+00j YXIYIZZXXXIX
-1.28627738845339245e-03+0.00000000000000000e+00j XXIYIZZXYXIX
2.30851437756019687e-03+0.00000000000000000e+00j IYIYIZZXZXIX
-2.30851437756019687e-03+0.00000000000000000e+00j ZXIYIZZXIYIX
-9.53586880539854936e-03+0.00000000000000000e+00j IZYYIZZXIZXX
9.53586880539854936e-03+0.00000000000000000e+00j IZXYIZZXIZYX
5.86390382746409481e-03+0.00000000000000000e+00j IIIXIZZXIZZX
5.86390382746409481e-03+0.00000000000000000e+00j IZZYIZZXIIIY
6.64544920736209700e-04+0.00000000000000000e+00j IYIXIIIYIXIX
-6.64544920736209700e-04+0.00000000000000000e+00j ZXIXIIIYZYIX
-1.19876688549583471e-02+0.00000000000000000e+00j IZYXIIIYZZXX
1.19876688549583471e-02+0.00000000000000000e+00j IZXXIIIYZZYX
-2.10213897794903743e-04+0.00000000000000000e+00j IIIYIIIYZZZX
2.10213897794903743e-04+0.00000000000000000e+00j IZZXIIIYZIIY
-6.64544920736209700e-04+0.00000000000000000e+00j YXIXIIIYYYIX
-6.64544920736209700e-04+0.00000000000000000e+00j XXIXIIIYXYIX
-2.10213897794903743e-04+0.00000000000000000e+00j IZYXIIIYZIXX
2.10213897794903743e-04+0.00000000000000000e+00j IZXXIIIYZIYX
-1.19876688549583471e-02+0.00000000000000000e+00j IIIYIIIYZIZX
1.19876688549583471e-02+0.00000000000000000e+00j IZZXIIIYZZIY
4.66034126691442993e-03+0.00000000000000000e+00j YXIXIIIYXXZX
-4.66034126691442993e-03+0.00000000000000000e+00j XXIXIIIYYXZX
2.22286206424112797e-03+0.00000000000000000e+00j IYIXIIIYZXZX
-2.22286206424112797e-03+0.00000000000000000e+00j ZXIXIIIYIYZX
-8.69617977304207659e-03+0.00000000000000000e+00j IIIYIIIYIZIX
8.69617977304207659e-03+0.00000000000000000e+00j IZZXIIIYIIZY
-2.22286206424112797e-03+0.00000000000000000e+00j YXIXIIIYXYZY
2.22286206424112797e-03+0.00000000000000000e+00j XXIXIIIYYYZY
-4.66034126691442993e-03+0.00000000000000000e+00j IYIXIIIYZYZY
-4.66034126691442993e-03+0.00000000000000000e+00j ZXIXIIIYIXZY
8.69617977304207659e-03+0.00000000000000000e+00j IZYXIIIYIIYY
8.69617977304207659e-03+0.00000000000000000e+00j IZXXIIIYIIXY
5.81176718227023256e-03+0.00000000000000000e+00j YZYIIIIIIIII
5.81176718227023256e-03+0.00000000000000000e+00j XZXIIIIIIIII
5.81176718227023256e-03+0.00000000000000000e+00j XZXZIIIIIIII
5.81176718227023256e-03+0.00000000000000000e+00j YZYZIIIIIIII
9.83748344683884517e-04+0.00000000000000000e+00j YZIIYIIIIIII
9.83748344683884517e-04+0.00000000000000000e+00j XZIIXIIIIIII
9.83748344683884517e-04+0.00000000000000000e+00j XIIIXZIIIIII
9.83748344683884517e-04+0.00000000000000000e+00j YIIIYZIIIIII
1.36833221434744523e-02+0.00000000000000000e+00j IZYZYIIIIIII
1.36833221434744523e-02+0.00000000000000000e+00j IZXZXIIIIIII
1.36833221434744523e-02+0.00000000000000000e+00j IIXIXZIIIIII
1.36833221434744523e-02+0.00000000000000000e+00j IIYIYZIIIIII
9.83748344683885601e-04+0.00000000000000000e+00j YZIIIIYIIIII
9.83748344683885601e-04+0.00000000000000000e+00j XZIIIIXIIIII
9.83748344683885601e-04+0.00000000000000000e+00j XIIZIZXZIIII
9.83748344683885601e-04+0.00000000000000000e+00j YIIZIZYZIIII
1.36833221434744679e-02+0.00000000000000000e+00j IZYZIIYIIIII
