name,family,basis,mapping,z1,z2,atom1,atom2,target_qubits,active_occupied,active_vacant,total_electrons,total_orbitals,spacing,config_path,output_path,status
C-H_0.95_sto-6g_as-001-001_bk,hydride,sto-6g,BK,6,1,C,H,2,1,1,7,12,0.9500000000000001,/home/abhijith/Code/qhat/library_pilot/006-001_C-H/02q/sto-6g/C-H_0.95_sto-6g_as-001-001_bk.config,/home/abhijith/Code/qhat/library_pilot/006-001_C-H/02q/sto-6g/C-H_0.95_sto-6g_as-001-001_bk.dat,generated
Li-Li_2.90_sto-6g_as-002-002_jw,homonuclear,sto-6g,JW,3,3,Li,Li,4,2,2,6,20,2.9,/home/abhijith/Code/qhat/library_pilot/003-003_Li-Li/04q/sto-6g/Li-Li_2.90_sto-6g_as-002-002_jw.config,/home/abhijith/Code/qhat/library_pilot/003-003_Li-Li/04q/sto-6g/Li-Li_2.90_sto-6g_as-002-002_jw.dat,generated
Li-Li_2.90_sto-6g_as-002-002_bk,homonuclear,sto-6g,BK,3,3,Li,Li,4,2,2,6,20,2.9,/home/abhijith/Code/qhat/library_pilot/003-003_Li-Li/04q/sto-6g/Li-Li_2.90_sto-6g_as-002-002_bk.config,/home/abhijith/Code/qhat/library_pilot/003-003_Li-Li/04q/sto-6g/Li-Li_2.90_sto-6g_as-002-002_bk.dat,generated
Be-Be_2.10_sto-6g_as-002-004_jw,homonuclear,sto-6g,JW,4,4,Be,Be,6,2,4,8,20,2.1,/home/abhijith/Code/qhat/library_pilot/004-004_Be-Be/06q/sto-6g/Be-Be_2.10_sto-6g_as-002-004_jw.config,/home/abhijith/Code/qhat/library_pilot/004-004_Be-Be/06q/sto-6g/Be-Be_2.10_sto-6g_as-002-004_jw.dat,generated
Be-Be_2.10_sto-6g_as-002-004_bk,homonuclear,sto-6g,BK,4,4,Be,Be,6,2,4,8,20,2.1,/home/abhijith/Code/qhat/library_pilot/004-004_Be-Be/06q/sto-6g/Be-Be_2.10_sto-6g_as-002-004_bk.config,/home/abhijith/Code/qhat/library_pilot/004-004_Be-Be/06q/sto-6g/Be-Be_2.10_sto-6g_as-002-004_bk.dat,generated
Be-Be_2.10_sto-6g_as-004-004_jw,homonuclear,sto-6g,JW,4,4,Be,Be,8,4,4,8,20,2.1,/home/abhijith/Code/qhat/library_pilot/004-004_Be-Be/08q/sto-6g/Be-Be_2.10_sto-6g_as-004-004_jw.config,/home/abhijith/Code/qhat/library_pilot/004-004_Be-Be/08q/sto-6g/Be-Be_2.10_sto-6g_as-004-004_jw.dat,generated
Be-Be_2.10_sto-6g_as-004-004_bk,homonuclear,sto-6g,BK,4,4,Be,Be,8,4,4,8,20,2.1,/home/abhijith/Code/qhat/library_pilot/004-004_Be-Be/08q/sto-6g/Be-Be_2.10_sto-6g_as-004-004_bk.config,/home/abhijith/Code/qhat/library_pilot/004-004_Be-Be/08q/sto-6g/Be-Be_2.10_sto-6g_as-004-004_bk.dat,generated
Be-Be_2.10_sto-6g_as-004-006_jw,homonuclear,sto-6g,JW,4,4,Be,Be,10,4,6,8,20,2.1,/home/abhijith/Code/qhat/library_pilot/004-004_Be-Be/10q/sto-6g/Be-Be_2.10_sto-6g_as-004-006_jw.config,/home/abhijith/Code/qhat/library_pilot/004-004_Be-Be/10q/sto-6g/Be-Be_2.10_sto-6g_as-004-006_jw.dat,generated
Be-Be_2.10_sto-6g_as-004-006_bk,homonuclear,sto-6g,BK,4,4,Be,Be,10,4,6,8,20,2.1,/home/abhijith/Code/qhat/library_pilot/004-004_Be-Be/10q/sto-6g/Be-Be_2.10_sto-6g_as-004-006_bk.config,/home/abhijith/Code/qhat/library_pilot/004-004_Be-Be/10q/sto-6g/Be-Be_2.10_sto-6g_as-004-006_bk.dat,generated
Be-Be_2.10_sto-6g_as-004-008_jw,homonuclear,sto-6g,JW,4,4,Be,Be,12,4,8,8,20,2.1,/home/abhijith/Code/qhat/library_pilot/004-004_Be-Be/12q/sto-6g/Be-Be_2.10_sto-6g_as-004-008_jw.config,/home/abhijith/Code/qhat/library_pilot/004-004_Be-Be/12q/sto-6g/Be-Be_2.10_sto-6g_as-004-008_jw.dat,generated
Be-Be_2.10_sto-6g_as-004-008_bk,homonuclear,sto-6g,BK,4,4,Be,Be,12,4,8,8,20,2.1,/home/abhijith/Code/qhat/library_pilot/004-004_Be-Be/12q/sto-6g/Be-Be_2.10_sto-6g_as-004-008_bk.config,/home/abhijith/Code/qhat/library_pilot/004-004_Be-Be/12q/sto-6g/Be-Be_2.10_sto-6g_as-004-008_bk.dat,generated
