# BASELINE: Trotter state error for QPE Hamiltonian simulation.
# 
# metric        : err = || psi_trotter - psi_exact ||_2
# initial state : Hartree-Fock |11..100..0> (top n_occ bits, JW)
# reference     : scipy expm_multiply, exp(-i H T) psi0
# generator     : H_terms = pi * (H - shift*I) / normalization,
#                 identity term excluded
# normalization : 2 * max(1, one_norm - |shift|)  [Julia hamiltonian_utils.jl]
# term ordering : ascending signed coefficient, ties broken by ascending
#                 lexicographic Pauli string (deterministic; the
#                 ascending direction follows Julia, the tie-break is an
#                 addition)
# delta_t       : 1 / n_steps, where n_steps is PER U and
#                 U = exp(-i H_terms) is one unit of evolution
# total_steps   : T / delta_t = T * n_steps
# dt_norm       : delta_t * sum|c_j|; equals pi/2, pi/4, pi/8 wherever
#                 the shifted one-norm is at least 1, which fixes the
#                 dimensionless step size across systems
# T             : swept, identical for every Hamiltonian. NOT derived
#                 from any per-molecule circuit-depth table; it is an
#                 independent axis of the study.
# mapping       : bk   (HF determinant encoded per mapping:
#                 JW stores the occupation directly, BK stores
#                 (encoder_bk @ occ) mod 2, as in hamgen.get_initial_state)
# basis         : sto-6g
# active space  : all
# T swept       : 64,256,512
# n_steps swept : 1,2,4   (delta_t = 1.0, 0.5, 0.25)
# orders        : 1,2,4
# bond lengths  : 10 per active space, evenly spaced over the sorted L range (deterministic)
# 
# Generated by compute_trotter_state_error.py.
molecule,L,basis,active,mapping,n_qubits,T,n_steps,total_steps,delta_t,dt_norm,order,err,seconds,one_norm,normalization
He-H,0.88,sto-6g,001-001,bk,2,256,2,512,0.5,0.2421281683028702,4,1.913586074387527e-13,0.042,3.261530174837448,2.0
He-H,0.88,sto-6g,001-001,bk,2,256,4,1024,0.25,0.1210640841514351,4,6.796765589606293e-13,0.084,3.261530174837448,2.0
He-H,0.88,sto-6g,001-001,bk,2,512,1,512,1.0,0.4842563366057404,1,7.888304520226981e-14,0.005,3.261530174837448,2.0
He-H,0.88,sto-6g,001-001,bk,2,512,2,1024,0.5,0.2421281683028702,1,8.419709561536615e-14,0.01,3.261530174837448,2.0
He-H,0.88,sto-6g,001-001,bk,2,512,4,2048,0.25,0.1210640841514351,1,1.0819663092816316e-13,0.02,3.261530174837448,2.0
He-H,0.88,sto-6g,001-001,bk,2,512,1,512,1.0,0.4842563366057404,2,1.040884858547365e-13,0.008,3.261530174837448,2.0
He-H,0.88,sto-6g,001-001,bk,2,512,2,1024,0.5,0.2421281683028702,2,7.493997192341038e-14,0.017,3.261530174837448,2.0
He-H,0.88,sto-6g,001-001,bk,2,512,4,2048,0.25,0.1210640841514351,2,1.9076442456146517e-13,0.033,3.261530174837448,2.0
He-H,0.88,sto-6g,001-001,bk,2,512,1,512,1.0,0.4842563366057404,4,4.3811661524733936e-13,0.042,3.261530174837448,2.0
He-H,0.88,sto-6g,001-001,bk,2,512,2,1024,0.5,0.2421281683028702,4,3.876476921311678e-13,0.083,3.261530174837448,2.0
He-H,0.88,sto-6g,001-001,bk,2,512,4,2048,0.25,0.1210640841514351,4,1.356823386418487e-12,0.166,3.261530174837448,2.0
He-H,1.09,sto-6g,001-001,bk,2,64,1,64,1.0,0.340853860803024,1,1.7174400217847316e-14,0.001,3.257760531647914,2.0
He-H,1.09,sto-6g,001-001,bk,2,64,2,128,0.5,0.170426930401512,1,1.3547450681966922e-14,0.001,3.257760531647914,2.0
He-H,1.09,sto-6g,001-001,bk,2,64,4,256,0.25,0.085213465200756,1,6.987352464431301e-15,0.002,3.257760531647914,2.0
He-H,1.09,sto-6g,001-001,bk,2,64,1,64,1.0,0.340853860803024,2,1.5711224939902784e-14,0.001,3.257760531647914,2.0
He-H,1.09,sto-6g,001-001,bk,2,64,2,128,0.5,0.170426930401512,2,1.366070671273436e-14,0.002,3.257760531647914,2.0
He-H,1.09,sto-6g,001-001,bk,2,64,4,256,0.25,0.085213465200756,2,2.6657203899146467e-14,0.004,3.257760531647914,2.0
He-H,1.09,sto-6g,001-001,bk,2,64,1,64,1.0,0.340853860803024,4,6.329948526119099e-14,0.005,3.257760531647914,2.0
He-H,1.09,sto-6g,001-001,bk,2,64,2,128,0.5,0.170426930401512,4,1.1362015328323911e-13,0.01,3.257760531647914,2.0
He-H,1.09,sto-6g,001-001,bk,2,64,4,256,0.25,0.085213465200756,4,9.127398991167979e-14,0.021,3.257760531647914,2.0
He-H,1.09,sto-6g,001-001,bk,2,256,1,256,1.0,0.340853860803024,1,3.977232203141246e-13,0.002,3.257760531647914,2.0
He-H,1.09,sto-6g,001-001,bk,2,256,2,512,0.5,0.170426930401512,1,3.988844573582357e-13,0.005,3.257760531647914,2.0
He-H,1.09,sto-6g,001-001,bk,2,256,4,1024,0.25,0.085213465200756,1,4.0547225081160254e-13,0.01,3.257760531647914,2.0
He-H,1.09,sto-6g,001-001,bk,2,256,1,256,1.0,0.340853860803024,2,3.9716580405644204e-13,0.004,3.257760531647914,2.0
He-H,1.09,sto-6g,001-001,bk,2,256,2,512,0.5,0.170426930401512,2,3.9595880042360344e-13,0.008,3.257760531647914,2.0
He-H,1.09,sto-6g,001-001,bk,2,256,4,1024,0.25,0.085213465200756,2,4.2335779923771567e-13,0.017,3.257760531647914,2.0
He-H,1.09,sto-6g,001-001,bk,2,256,1,256,1.0,0.340853860803024,4,4.610874246115836e-13,0.021,3.257760531647914,2.0
He-H,1.09,sto-6g,001-001,bk,2,256,2,512,0.5,0.170426930401512,4,6.04767953578225e-13,0.042,3.257760531647914,2.0
He-H,1.09,sto-6g,001-001,bk,2,256,4,1024,0.25,0.085213465200756,4,5.310050954331896e-13,0.083,3.257760531647914,2.0
He-H,1.09,sto-6g,001-001,bk,2,512,1,512,1.0,0.340853860803024,1,9.150184784916879e-13,0.005,3.257760531647914,2.0
He-H,1.09,sto-6g,001-001,bk,2,512,2,1024,0.5,0.170426930401512,1,9.18041868320401e-13,0.01,3.257760531647914,2.0
He-H,1.09,sto-6g,001-001,bk,2,512,4,2048,0.25,0.085213465200756,1,9.33426556034615e-13,0.019,3.257760531647914,2.0
He-H,1.09,sto-6g,001-001,bk,2,512,1,512,1.0,0.340853860803024,2,9.167105598158324e-13,0.008,3.257760531647914,2.0
He-H,1.09,sto-6g,001-001,bk,2,512,2,1024,0.5,0.170426930401512,2,9.13203196530202e-13,0.017,3.257760531647914,2.0
He-H,1.09,sto-6g,001-001,bk,2,512,4,2048,0.25,0.085213465200756,2,9.635528666407067e-13,0.033,3.257760531647914,2.0
He-H,1.09,sto-6g,001-001,bk,2,512,1,512,1.0,0.340853860803024,4,1.0292131757440825e-12,0.041,3.257760531647914,2.0
He-H,1.09,sto-6g,001-001,bk,2,512,2,1024,0.5,0.170426930401512,4,1.2979019521853604e-12,0.083,3.257760531647914,2.0
He-H,1.09,sto-6g,001-001,bk,2,512,4,2048,0.25,0.085213465200756,4,1.1640959056691479e-12,0.173,3.257760531647914,2.0
He-H,1.3,sto-6g,001-001,bk,2,64,1,64,1.0,0.34828632693136113,1,1.2557795401038269e-14,0.001,3.304311387671925,2.0
He-H,1.3,sto-6g,001-001,bk,2,64,2,128,0.5,0.17414316346568057,1,1.3763183674796884e-14,0.001,3.304311387671925,2.0
He-H,1.3,sto-6g,001-001,bk,2,64,4,256,0.25,0.08707158173284028,1,3.9941652386217215e-14,0.003,3.304311387671925,2.0
He-H,1.3,sto-6g,001-001,bk,2,64,1,64,1.0,0.34828632693136113,2,9.77248552510152e-15,0.001,3.304311387671925,2.0
He-H,1.3,sto-6g,001-001,bk,2,64,2,128,0.5,0.17414316346568057,2,3.655484123525268e-14,0.002,3.304311387671925,2.0
He-H,1.3,sto-6g,001-001,bk,2,64,4,256,0.25,0.08707158173284028,2,1.3547450681966922e-14,0.005,3.304311387671925,2.0
He-H,1.3,sto-6g,001-001,bk,2,64,1,64,1.0,0.34828632693136113,4,1.620963636843274e-14,0.006,3.304311387671925,2.0
He-H,1.3,sto-6g,001-001,bk,2,64,2,128,0.5,0.17414316346568057,4,9.280853577494097e-14,0.013,3.304311387671925,2.0
He-H,1.3,sto-6g,001-001,bk,2,64,4,256,0.25,0.08707158173284028,4,9.535620181210026e-14,0.026,3.304311387671925,2.0
He-H,1.3,sto-6g,001-001,bk,2,256,1,256,1.0,0.34828632693136113,1,1.4049814255392702e-13,0.003,3.304311387671925,2.0
