case_id,tensor_path,molecule,bond_length,basis,active_occupied,active_vacant,n_qubits,trotter_steps,evolution_time,coefficient_tolerance,jw_signed_one_minus_overlap,jw_magnitude_one_minus_overlap,jw_magnitude_ratio_to_signed,jw_baseline_winner,jw_improvement_factor,below_numerical_floor,fermionic_signed_one_minus_overlap,strongest_jw_one_minus_overlap,strongest_jw_ratio_to_fermionic,fermionic_vs_strongest_jw_winner,jw_signed_source_csv,jw_magnitude_source_csv,fermionic_signed_source_csv
B-B_1.70_sto-6g_as-002-004,hamiltonian_generator/b2_controlled_active_space_libraries/occ-002/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-002-004.tensors.npz,B-B,1.70,sto-6g,2,4,6,100,1.0,1e-12,1.8303913940087568e-11,5.721312312800819e-12,0.31257316503605936,jw_magnitude,3.199250965400811,False,,5.721312312800819e-12,nan,not_available,analysis/b2_occ002_20orders_baseline_results.csv,analysis/b2_controlled_jw_magnitude_descending.csv,
B-B_1.70_sto-6g_as-002-006,hamiltonian_generator/b2_controlled_active_space_libraries/occ-002/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-002-006.tensors.npz,B-B,1.70,sto-6g,2,6,8,100,1.0,1e-12,6.379892558694422e-08,5.135048941617981e-08,0.8048801597167986,jw_magnitude,1.242420983953506,False,,5.135048941617981e-08,nan,not_available,analysis/b2_occ002_20orders_baseline_results.csv,analysis/b2_controlled_jw_magnitude_descending.csv,
B-B_1.70_sto-6g_as-002-008,hamiltonian_generator/b2_controlled_active_space_libraries/occ-002/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-002-008.tensors.npz,B-B,1.70,sto-6g,2,8,10,100,1.0,1e-12,7.210920471845128e-08,5.2098197200756147e-08,0.7224902480088686,jw_magnitude,1.384101726986528,False,,5.2098197200756147e-08,nan,not_available,analysis/b2_occ002_20orders_baseline_results.csv,analysis/b2_controlled_jw_magnitude_descending.csv,
B-B_1.70_sto-6g_as-002-010,hamiltonian_generator/b2_controlled_active_space_libraries/occ-002/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-002-010.tensors.npz,B-B,1.70,sto-6g,2,10,12,100,1.0,1e-12,9.634328279606308e-08,6.080757308790652e-08,0.6311552951400088,jw_magnitude,1.584396118831849,False,,6.080757308790652e-08,nan,not_available,analysis/b2_occ002_20orders_baseline_results.csv,analysis/b2_controlled_jw_magnitude_descending.csv,
B-B_1.70_sto-6g_as-004-002,hamiltonian_generator/b2_controlled_active_space_libraries/occ-004/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-004-002.tensors.npz,B-B,1.70,sto-6g,4,2,6,100,1.0,1e-12,1.6701462213219997e-08,1.7978850297417637e-08,1.0764836077158877,jw_signed,1.0764836077158877,False,,1.6701462213219997e-08,nan,not_available,analysis/b2_occ004_20orders_baseline_results.csv,analysis/b2_controlled_jw_magnitude_descending.csv,
B-B_1.70_sto-6g_as-004-004,hamiltonian_generator/b2_controlled_active_space_libraries/occ-004/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-004-004.tensors.npz,B-B,1.70,sto-6g,4,4,8,100,1.0,1e-12,1.067956933997749e-08,6.756629145066029e-09,0.6326686900916053,jw_magnitude,1.580606114481828,False,,6.756629145066029e-09,nan,not_available,analysis/b2_occ004_20orders_baseline_results.csv,analysis/b2_controlled_jw_magnitude_descending.csv,
B-B_1.70_sto-6g_as-004-006,hamiltonian_generator/b2_controlled_active_space_libraries/occ-004/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-004-006.tensors.npz,B-B,1.70,sto-6g,4,6,10,100,1.0,1e-12,2.1361098812011647e-07,1.2412249017490495e-07,0.5810679088526529,jw_magnitude,1.7209692443255886,False,,1.2412249017490495e-07,nan,not_available,analysis/b2_occ004_20orders_baseline_results.csv,analysis/b2_controlled_jw_magnitude_descending.csv,
B-B_1.70_sto-6g_as-004-008,hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-004-008.tensors.npz,B-B,1.70,sto-6g,4,8,12,100,1.0,1e-12,3.07441509583839e-07,1.504888212933153e-07,0.4894876475756998,jw_magnitude,2.0429524727594863,False,1.5044613610459834e-07,1.504888212933153e-07,1.0002837240611304,fermionic_signed,analysis/b2_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_sto6g.csv,analysis/deterministic_ordering_additions_sto6g.csv
B-B_1.70_sto-6g_as-004-008,hamiltonian_generator/b2_controlled_active_space_libraries/occ-004/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-004-008.tensors.npz,B-B,1.70,sto-6g,4,8,12,100,1.0,1e-12,3.0744588241926607e-07,1.5047906354315188e-07,0.48944894743440587,jw_magnitude,2.0431140065614635,False,,1.5047906354315188e-07,nan,not_available,analysis/b2_occ004_20orders_baseline_results.csv,analysis/b2_controlled_jw_magnitude_descending.csv,
B-B_1.70_sto-6g_as-004-010,hamiltonian_generator/b2_controlled_active_space_libraries/occ-004/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-004-010.tensors.npz,B-B,1.70,sto-6g,4,10,14,100,1.0,1e-12,4.967306111991476e-07,3.0418759933148465e-07,0.612379411442253,jw_magnitude,1.6329745600767953,False,,3.0418759933148465e-07,nan,not_available,analysis/b2_occ004_20orders_baseline_results.csv,analysis/b2_controlled_jw_magnitude_descending.csv,
B-B_1.70_sto-6g_as-006-002,hamiltonian_generator/b2_controlled_active_space_libraries/occ-006/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-006-002.tensors.npz,B-B,1.70,sto-6g,6,2,8,100,1.0,1e-12,6.689067288956352e-08,9.401872447245552e-08,1.4055580608028926,jw_signed,1.4055580608028926,False,,6.689067288956352e-08,nan,not_available,analysis/b2_occ006_20orders_baseline_results.csv,analysis/b2_controlled_jw_magnitude_descending.csv,
B-B_1.70_sto-6g_as-006-004,hamiltonian_generator/b2_controlled_active_space_libraries/occ-006/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-006-004.tensors.npz,B-B,1.70,sto-6g,6,4,10,100,1.0,1e-12,1.0635197100761218e-07,1.2766365409255798e-07,1.2003882286621694,jw_signed,1.2003882286621694,False,,1.0635197100761218e-07,nan,not_available,analysis/b2_occ006_20orders_baseline_results.csv,analysis/b2_controlled_jw_magnitude_descending.csv,
B-B_1.70_sto-6g_as-006-006,hamiltonian_generator/b2_controlled_active_space_libraries/occ-006/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-006-006.tensors.npz,B-B,1.70,sto-6g,6,6,12,100,1.0,1e-12,1.5793216567860924e-07,2.252709306871381e-07,1.426377772502422,jw_signed,1.426377772502422,False,,1.5793216567860924e-07,nan,not_available,analysis/b2_occ006_20orders_baseline_results.csv,analysis/b2_controlled_jw_magnitude_descending.csv,
B-B_1.70_sto-6g_as-006-008,hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-006-008.tensors.npz,B-B,1.70,sto-6g,6,8,14,100,1.0,1e-12,4.46741929782668e-07,3.366144203376109e-07,0.7534874116279343,jw_magnitude,1.327162185549281,False,3.335712239760369e-07,3.366144203376109e-07,1.0091230781999128,fermionic_signed,analysis/b2_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_sto6g.csv,analysis/deterministic_ordering_additions_sto6g.csv
B-B_1.70_sto-6g_as-006-008,hamiltonian_generator/b2_controlled_active_space_libraries/occ-006/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-006-008.tensors.npz,B-B,1.70,sto-6g,6,8,14,100,1.0,1e-12,4.4674636767716436e-07,3.366920057201739e-07,0.7536535942548057,jw_magnitude,1.326869542748981,False,,3.366920057201739e-07,nan,not_available,analysis/b2_occ006_20orders_baseline_results.csv,analysis/b2_controlled_jw_magnitude_descending.csv,
B-B_1.70_sto-6g_as-006-010,hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-006-010.tensors.npz,B-B,1.70,sto-6g,6,10,16,100,1.0,1e-12,1.029460337975685e-06,8.84488932095806e-07,0.8591772790732778,jw_magnitude,1.1639041491863191,False,9.021506610640273e-07,8.84488932095806e-07,0.9804226392214905,strongest_jw,analysis/b2_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_sto6g.csv,analysis/deterministic_ordering_additions_sto6g.csv
B-B_1.70_sto-6g_as-006-010,hamiltonian_generator/b2_controlled_active_space_libraries/occ-006/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-006-010.tensors.npz,B-B,1.70,sto-6g,6,10,16,100,1.0,1e-12,1.0294769117180635e-06,8.844368080129783e-07,0.859112815397645,jw_magnitude,1.163991482931313,False,,8.844368080129783e-07,nan,not_available,analysis/b2_occ006_20orders_baseline_results.csv,analysis/b2_controlled_jw_magnitude_descending.csv,
B-B_1.70_sto-6g_as-008-010,hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-008-010.tensors.npz,B-B,1.70,sto-6g,8,10,18,100,1.0,1e-12,8.748003591518838e-07,8.627130027027974e-07,0.9861827257812227,jw_magnitude,1.0140108661990928,False,1.0184671613844287e-06,8.627130027027974e-07,0.847070023868113,strongest_jw,analysis/b2_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_sto6g.csv,analysis/deterministic_ordering_additions_sto6g.csv
B-B_1.70_sto-6g_as-010-010,hamiltonian_generator/b2_active_space_library/B-B/1.70/sto-6g/B-B_1.70_sto-6g_as-010-010.tensors.npz,B-B,1.70,sto-6g,10,10,20,100,1.0,1e-12,9.994529724943746e-07,1.1031564149943662e-06,1.1037602021845758,jw_signed,1.1037602021845758,False,1.0289036773691862e-06,9.994529724943746e-07,0.971376616176439,strongest_jw,analysis/b2_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_sto6g.csv,analysis/deterministic_ordering_additions_sto6g.csv
B-H_1.29_hgbs-5_as-002-002,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-002-002.tensors.npz,B-H,1.29,hgbs-5,2,2,4,100,1.0,1e-12,3.0533120476405884e-10,3.053328700985958e-10,1.0000054541904364,tie,1.0000054541904364,False,3.053328700985958e-10,3.0533120476405884e-10,0.9999945458393117,tie,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv
B-H_1.29_hgbs-5_as-002-004,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-002-004.tensors.npz,B-H,1.29,hgbs-5,2,4,6,100,1.0,1e-12,4.865865488312693e-10,6.015008491289109e-10,1.236164153270685,jw_signed,1.236164153270685,False,6.01500405039701e-10,4.865865488312693e-10,0.8089546486658691,strongest_jw,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv
B-H_1.29_hgbs-5_as-004-004,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-004-004.tensors.npz,B-H,1.29,hgbs-5,4,4,8,100,1.0,1e-12,3.980173746143123e-09,4.354561156105774e-09,1.0940630821268646,jw_signed,1.0940630821268646,False,4.782336304742785e-09,3.980173746143123e-09,0.8322655481580973,strongest_jw,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv
B-H_1.29_hgbs-5_as-004-006,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-004-006.tensors.npz,B-H,1.29,hgbs-5,4,6,10,100,1.0,1e-12,4.003703590882424e-09,4.395084518549197e-09,1.097754721043301,jw_signed,1.097754721043301,False,4.7989086038313644e-09,4.003703590882424e-09,0.8342946118386037,strongest_jw,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv
B-H_1.29_hgbs-5_as-004-008,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-004-008.tensors.npz,B-H,1.29,hgbs-5,4,8,12,100,1.0,1e-12,3.192987074740472e-08,1.953607342564112e-08,0.6118431728142534,jw_magnitude,1.6344057504153688,False,2.506802498913885e-08,1.953607342564112e-08,0.7793224011107959,strongest_jw,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv
B-H_1.29_hgbs-5_as-006-008,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-006-008.tensors.npz,B-H,1.29,hgbs-5,6,8,14,100,1.0,1e-12,4.503833239688504e-08,2.2486482120775975e-08,0.4992743053322106,jw_magnitude,2.0029069978568455,False,2.560357070802155e-08,2.2486482120775975e-08,0.8782557080497762,strongest_jw,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv
B-H_1.29_hgbs-5_as-006-010,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-006-010.tensors.npz,B-H,1.29,hgbs-5,6,10,16,100,1.0,1e-12,8.588762479000422e-08,3.788002111981825e-08,0.4410416659260882,jw_magnitude,2.2673594747567107,False,4.8246144745967e-08,3.788002111981825e-08,0.7851408919670151,strongest_jw,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv
B-H_1.29_hgbs-5_as-006-012,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-006-012.tensors.npz,B-H,1.29,hgbs-5,6,12,18,100,1.0,1e-12,1.1559578005915228e-07,9.342596829498007e-08,0.8082126202805366,jw_magnitude,1.2372981748947356,False,4.47135389824993e-08,9.342596829498007e-08,2.0894335456548543,fermionic_signed,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv
B-H_1.29_hgbs-5_as-006-014,hamiltonian_generator/library/B-H/1.29/hgbs-5/B-H_1.29_hgbs-5_as-006-014.tensors.npz,B-H,1.29,hgbs-5,6,14,20,100,1.0,1e-12,7.152039249724851e-08,1.7912628091920624e-07,2.5045483485859994,jw_signed,2.5045483485859994,False,4.839851612814527e-07,7.152039249724851e-08,0.14777393651467163,strongest_jw,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv,analysis/heteronuclear_hgbs-5_deterministic_ordering.csv
B-H_1.29_sto-6g_as-002-002,hamiltonian_generator/library/B-H/1.29/sto-6g/B-H_1.29_sto-6g_as-002-002.tensors.npz,B-H,1.29,sto-6g,2,2,4,100,1.0,1e-12,2.041874447300529e-10,3.961948547015481e-09,19.40348757610144,jw_signed,19.40348757610144,False,3.961946104524827e-09,2.041874447300529e-10,0.05153715859406976,strongest_jw,analysis/heteronuclear_sto-6g_deterministic_ordering.csv,analysis/heteronuclear_sto-6g_deterministic_ordering.csv,analysis/heteronuclear_sto-6g_deterministic_ordering.csv
B-H_1.29_sto-6g_as-002-004,hamiltonian_generator/library/B-H/1.29/sto-6g/B-H_1.29_sto-6g_as-002-004.tensors.npz,B-H,1.29,sto-6g,2,4,6,100,1.0,1e-12,1.814479899664434e-08,6.250235662363934e-09,0.3444643097738277,jw_magnitude,2.9030583768071394,False,6.250575501631772e-09,6.250235662363934e-09,0.9999456307234831,strongest_jw,analysis/heteronuclear_sto-6g_deterministic_ordering.csv,analysis/heteronuclear_sto-6g_deterministic_ordering.csv,analysis/heteronuclear_sto-6g_deterministic_ordering.csv
B-H_1.29_sto-6g_as-004-004,hamiltonian_generator/library/B-H/1.29/sto-6g/B-H_1.29_sto-6g_as-004-004.tensors.npz,B-H,1.29,sto-6g,4,4,8,100,1.0,1e-12,2.4796250164271783e-08,1.0075251555274889e-07,4.063215804215443,jw_signed,4.063215804215443,False,1.3239798635211741e-07,2.4796250164271783e-08,0.18728570462034994,strongest_jw,analysis/heteronuclear_sto-6g_deterministic_ordering.csv,analysis/heteronuclear_sto-6g_deterministic_ordering.csv,analysis/heteronuclear_sto-6g_deterministic_ordering.csv
B-H_1.29_sto-6g_as-004-006,hamiltonian_generator/library/B-H/1.29/sto-6g/B-H_1.29_sto-6g_as-004-006.tensors.npz,B-H,1.29,sto-6g,4,6,10,100,1.0,1e-12,6.58232653827362e-07,6.752603599613494e-07,1.025868826219693,jw_signed,1.025868826219693,False,7.605560186085825e-07,6.58232653827362e-07,0.8654624218628649,strongest_jw,analysis/heteronuclear_sto-6g_deterministic_ordering.csv,analysis/heteronuclear_sto-6g_deterministic_ordering.csv,analysis/heteronuclear_sto-6g_deterministic_ordering.csv
B-H_1.29_sto-6g_as-006-006,hamiltonian_generator/library/B-H/1.29/sto-6g/B-H_1.29_sto-6g_as-006-006.tensors.npz,B-H,1.29,sto-6g,6,6,12,100,1.0,1e-12,2.788220992977486e-07,7.948787615896791e-07,2.8508456237568307,jw_signed,2.8508456237568307,False,1.0973195325725271e-06,2.788220992977486e-07,0.25409380861387326,strongest_jw,analysis/heteronuclear_sto-6g_deterministic_ordering.csv,analysis/heteronuclear_sto-6g_deterministic_ordering.csv,analysis/heteronuclear_sto-6g_deterministic_ordering.csv
Be-Be_2.04_hgbs-5_as-008-002,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-002.tensors.npz,Be-Be,2.04,hgbs-5,8,2,10,100,1.0,1e-12,3.585952845774898e-08,4.698764710653336e-09,0.13103252922551936,jw_magnitude,7.6316927247806206,False,4.415439236460372e-09,4.698764710653336e-09,1.064166996536474,fermionic_signed,analysis/hgbs5_be2_lower_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv
Be-Be_2.04_hgbs-5_as-008-004,hamiltonian_generator/hgbs5_diatomic_basis_transfer/lower/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-004.tensors.npz,Be-Be,2.04,hgbs-5,8,4,12,100,1.0,1e-12,1.8569844884019915e-08,9.107919751727422e-09,0.49046827308531515,jw_magnitude,2.038867863377686,False,8.625814396090448e-09,9.107919751727422e-09,1.055890995736644,fermionic_signed,analysis/hgbs5_be2_lower_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv
Be-Be_2.04_hgbs-5_as-008-006,hamiltonian_generator/hgbs5_diatomic_basis_transfer/screen/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-006.tensors.npz,Be-Be,2.04,hgbs-5,8,6,14,100,1.0,1e-12,1.6097596711173168e-07,1.4689333782680336e-07,0.9125171941029326,jw_magnitude,1.0958697616465944,False,2.670802345949852e-08,1.4689333782680336e-07,5.499970375926931,fermionic_signed,analysis/hgbs5_be2_screen_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv
Be-Be_2.04_hgbs-5_as-008-008,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-008.tensors.npz,Be-Be,2.04,hgbs-5,8,8,16,100,1.0,1e-12,1.6342279618442035e-07,1.4769534506520188e-07,0.9037621954438335,jw_magnitude,1.106485760348611,False,1.357650755151596e-07,1.4769534506520188e-07,1.0878743631583672,fermionic_signed,analysis/hgbs5_be2_night_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv
Be-Be_2.04_hgbs-5_as-008-010,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-010.tensors.npz,Be-Be,2.04,hgbs-5,8,10,18,100,1.0,1e-12,1.7078436798101393e-07,1.556830450111235e-07,0.9115766674174229,jw_magnitude,1.0970004342400383,False,1.3375730778530937e-07,1.556830450111235e-07,1.1639217893126752,fermionic_signed,analysis/hgbs5_be2_night_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv
Be-Be_2.04_hgbs-5_as-008-012,hamiltonian_generator/hgbs5_diatomic_basis_transfer/night/Be-Be/2.04/hgbs-5/Be-Be_2.04_hgbs-5_as-008-012.tensors.npz,Be-Be,2.04,hgbs-5,8,12,20,100,1.0,1e-12,1.7955809183956006e-07,1.5342733483691973e-07,0.8544718495561378,jw_magnitude,1.1703135691590754,False,1.3069481441529973e-07,1.5342733483691973e-07,1.173935901920213,fermionic_signed,analysis/hgbs5_be2_night_20orders_baseline_results.csv,analysis/deterministic_ordering_additions_hgbs5.csv,analysis/deterministic_ordering_additions_hgbs5.csv
