case_id,molecule,bond_length,basis,active_occupied,active_vacant,n_qubits,number_of_fermionic_terms,number_of_pauli_terms,jw_number_of_colors,fermionic_number_of_colors,raw_jw_one_minus_overlap,signed_baseline_one_minus_overlap,jw_mean_one_minus_overlap,jw_median_one_minus_overlap,jw_std_one_minus_overlap,jw_minimum_one_minus_overlap,jw_maximum_one_minus_overlap,jw_schedules_beating_baseline,jw_fraction_beating_baseline,fermionic_mean_one_minus_overlap,fermionic_median_one_minus_overlap,fermionic_std_one_minus_overlap,fermionic_minimum_one_minus_overlap,fermionic_maximum_one_minus_overlap,fermionic_schedules_beating_baseline,fermionic_fraction_beating_baseline,jw_pearson_log_bch_squared_vs_log_overlap_error,fermionic_pearson_log_bch_squared_vs_log_overlap_error
F-F_1.28_sto-6g_as-012-002,F-F,1.28,sto-6g,12,2,14,387,669,22,43,6.690597273251164e-05,2.1318536883585537e-06,5.198019902918904e-06,4.6583309643022375e-06,2.61717872599475e-06,1.9110600083527274e-06,1.2106147232571196e-05,2,0.1,2.3018976652078305e-05,1.3406631144796677e-05,2.7966017307593014e-05,1.7781321478560486e-06,0.0001095344175718,1,0.05,0.0814810356715694,0.9951802286894584
F-F_1.28_sto-6g_as-014-002,F-F,1.28,sto-6g,14,2,16,656,1176,26,53,0.0001342141117179,2.820262864133838e-06,6.003277257560225e-06,5.83231598322298e-06,3.132115868130116e-06,1.0499073391789793e-06,1.3197028581379833e-05,5,0.25,2.3531210189037256e-05,7.675866835699097e-06,3.965518550562103e-05,1.3234059019762157e-06,0.0001794904612389,3,0.15,0.6632158422518183,0.991035299441831
F-F_1.28_sto-6g_as-016-002,F-F,1.28,sto-6g,16,2,18,1027,1883,47,84,0.0002822221558829,1.1429201846713257e-05,7.020023876288528e-05,3.167099204376411e-05,7.45797376824898e-05,1.2517652704047144e-05,0.000248548114259,0,0.0,3.6157914459444826e-05,1.237769490614049e-05,6.2239271291081e-05,2.5060959626399537e-06,0.0002495216221679,9,0.45,0.8680080623962884,0.940166655285016
F-F_1.28_sto-6g_as-018-002,F-F,1.28,sto-6g,18,2,20,1580,2950,70,125,0.0005468555981892,1.5763401476798222e-05,4.182528352911219e-05,3.9542640542789e-05,1.7116217887368257e-05,1.893348691262009e-05,7.764051827008345e-05,0,0.0,5.4568511367125704e-05,2.356681106441272e-05,8.263954897085999e-05,6.055056706033568e-06,0.0003759079089186,7,0.35,0.4615890657720283,0.521519504642232
Li-Li_2.66_sto-6g_as-006-002,Li-Li,2.66,sto-6g,6,2,8,110,184,11,15,7.524230966060586e-07,2.4790853481171385e-08,1.4400772170963803e-06,7.25330589590456e-07,1.5057788303594195e-06,4.369574480023175e-09,4.734652233384651e-06,3,0.15,2.952321823068704e-07,2.4423656430627716e-08,8.127305881983256e-07,3.676312476663668e-09,2.9544148397731007e-06,10,0.5,0.9765167950792402,0.8900049932440744
Li-Li_2.66_sto-6g_as-006-004,Li-Li,2.66,sto-6g,6,4,10,153,251,14,20,4.475184131047527e-07,5.8616348330708945e-08,2.2152287790233594e-07,7.453220207676027e-08,2.3115985768270117e-07,2.8717360933683267e-08,7.600968134902075e-07,7,0.35,7.859055045189578e-07,6.241607283796746e-07,7.474612271311109e-07,2.7807631419740634e-08,2.1034103329098386e-06,6,0.3,0.9542387032597076,0.9771225640665648
Li-Li_2.66_sto-6g_as-006-006,Li-Li,2.66,sto-6g,6,6,12,202,326,16,21,2.571639914350499e-07,1.862178864442399e-07,1.26490816396152e-06,7.10659835589933e-07,1.3282391373320414e-06,1.9261093608946567e-08,3.467627984532484e-06,7,0.35,1.0682521472960005e-07,7.807971802442637e-08,9.914220375343085e-08,1.5544261544597763e-08,4.744394023203924e-07,18,0.9,0.9689304173075838,0.8075212312004801
Li-Li_2.66_sto-6g_as-006-008,Li-Li,2.66,sto-6g,6,8,14,385,665,33,45,3.412458197127322e-07,4.3989874387584393e-07,1.2548304266002396e-06,1.4000246787437831e-06,6.88250510154921e-07,9.26708788595576e-08,2.5106436619681816e-06,2,0.1,5.972888466765358e-07,2.400614247388688e-07,6.956336931718185e-07,8.029905618212042e-08,2.2974039984857697e-06,14,0.7,0.9168470324024643,0.9796446452487504
Li-Li_2.66_sto-6g_as-006-010,Li-Li,2.66,sto-6g,6,10,16,686,1240,40,73,4.722596470552176e-07,7.844819511770851e-07,1.0829496962294626e-06,7.975765413670288e-07,8.079246643259385e-07,2.2559979917513573e-07,3.2070043221033018e-06,10,0.5,4.7301622591033876e-07,2.407300453421968e-07,6.94622923912893e-07,7.648322508657658e-08,2.9921042959957234e-06,17,0.85,0.8789338493810164,0.967130710700145
Li-Li_2.66_sto-6g_as-006-012,Li-Li,2.66,sto-6g,6,12,18,1027,1883,48,87,9.706935131248429e-07,1.2261323859563689e-06,2.4816292898299787e-06,2.1543496028231246e-06,1.7031556844195742e-06,4.342905887133597e-07,7.455964433633611e-06,6,0.3,2.7428970272858066e-07,2.2794601306497242e-07,1.7561381357639481e-07,5.5923009445457694e-08,8.346165297767882e-07,20,1.0,0.923140753886278,0.9244929726493916
Li-Li_2.66_sto-6g_as-006-014,Li-Li,2.66,sto-6g,6,14,20,1580,2950,67,126,3.187939794480066e-06,1.929716974768958e-06,2.0444034838584813e-06,1.8977768949657303e-06,9.792634438665036e-07,5.290640039401495e-07,4.2441903391754465e-06,10,0.5,6.804274155891577e-07,5.02194341722717e-07,4.827086310778824e-07,1.461954342030225e-07,1.834010832091337e-06,20,1.0,0.9468021267358716,0.9318394998272808
