case_id,molecule,basis,bond_length,active_occupied,active_vacant,n_qubits,evolution_times,formula_orders,trotter_steps,orderings,observed_rows,unique_grid_rows,expected_rows_from_global_grid,missing_rows_from_global_grid,grid_complete,status,error_message,output_path
B-H_1.29_hgbs-5_as-002-002,B-H,hgbs-5,1.29,2,2,4,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-H/case_B-H_1.29_hgbs-5_as-002-002_state_infidelity.png
B-H_1.64_hgbs-5_as-002-002,B-H,hgbs-5,1.64,2,2,4,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-H/case_B-H_1.64_hgbs-5_as-002-002_state_infidelity.png
B-H_0.94_sto-6g_as-002-002,B-H,sto-6g,0.94,2,2,4,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-H/case_B-H_0.94_sto-6g_as-002-002_state_infidelity.png
B-H_1.29_sto-6g_as-002-002,B-H,sto-6g,1.29,2,2,4,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-H/case_B-H_1.29_sto-6g_as-002-002_state_infidelity.png
B-H_1.64_sto-6g_as-002-002,B-H,sto-6g,1.64,2,2,4,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-H/case_B-H_1.64_sto-6g_as-002-002_state_infidelity.png
B-H_0.94_hgbs-5_as-002-004,B-H,hgbs-5,0.94,2,4,6,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-H/case_B-H_0.94_hgbs-5_as-002-004_state_infidelity.png
B-H_1.29_hgbs-5_as-002-004,B-H,hgbs-5,1.29,2,4,6,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-H/case_B-H_1.29_hgbs-5_as-002-004_state_infidelity.png
B-H_1.64_hgbs-5_as-002-004,B-H,hgbs-5,1.64,2,4,6,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-H/case_B-H_1.64_hgbs-5_as-002-004_state_infidelity.png
B-H_0.94_sto-6g_as-002-004,B-H,sto-6g,0.94,2,4,6,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-H/case_B-H_0.94_sto-6g_as-002-004_state_infidelity.png
B-H_1.29_sto-6g_as-002-004,B-H,sto-6g,1.29,2,4,6,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-H/case_B-H_1.29_sto-6g_as-002-004_state_infidelity.png
B-H_1.64_sto-6g_as-002-004,B-H,sto-6g,1.64,2,4,6,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-H/case_B-H_1.64_sto-6g_as-002-004_state_infidelity.png
B-H_0.94_hgbs-5_as-004-004,B-H,hgbs-5,0.94,4,4,8,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-H/case_B-H_0.94_hgbs-5_as-004-004_state_infidelity.png
B-H_1.29_hgbs-5_as-004-004,B-H,hgbs-5,1.29,4,4,8,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-H/case_B-H_1.29_hgbs-5_as-004-004_state_infidelity.png
B-H_1.64_hgbs-5_as-004-004,B-H,hgbs-5,1.64,4,4,8,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-H/case_B-H_1.64_hgbs-5_as-004-004_state_infidelity.png
B-H_0.94_sto-6g_as-004-004,B-H,sto-6g,0.94,4,4,8,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-H/case_B-H_0.94_sto-6g_as-004-004_state_infidelity.png
B-H_1.29_sto-6g_as-004-004,B-H,sto-6g,1.29,4,4,8,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-H/case_B-H_1.29_sto-6g_as-004-004_state_infidelity.png
B-H_1.64_sto-6g_as-004-004,B-H,sto-6g,1.64,4,4,8,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/B-H/case_B-H_1.64_sto-6g_as-004-004_state_infidelity.png
Be-Be_1.63_hgbs-5_as-002-002,Be-Be,hgbs-5,1.63,2,2,4,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-Be/case_Be-Be_1.63_hgbs-5_as-002-002_state_infidelity.png
Be-Be_2.24_hgbs-5_as-002-002,Be-Be,hgbs-5,2.24,2,2,4,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-Be/case_Be-Be_2.24_hgbs-5_as-002-002_state_infidelity.png
Be-Be_2.86_hgbs-5_as-002-002,Be-Be,hgbs-5,2.86,2,2,4,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-Be/case_Be-Be_2.86_hgbs-5_as-002-002_state_infidelity.png
Be-Be_1.63_sto-6g_as-002-002,Be-Be,sto-6g,1.63,2,2,4,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-Be/case_Be-Be_1.63_sto-6g_as-002-002_state_infidelity.png
Be-Be_2.24_sto-6g_as-002-002,Be-Be,sto-6g,2.24,2,2,4,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-Be/case_Be-Be_2.24_sto-6g_as-002-002_state_infidelity.png
Be-Be_2.86_sto-6g_as-002-002,Be-Be,sto-6g,2.86,2,2,4,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-Be/case_Be-Be_2.86_sto-6g_as-002-002_state_infidelity.png
Be-Be_1.63_hgbs-5_as-002-004,Be-Be,hgbs-5,1.63,2,4,6,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-Be/case_Be-Be_1.63_hgbs-5_as-002-004_state_infidelity.png
Be-Be_2.24_hgbs-5_as-002-004,Be-Be,hgbs-5,2.24,2,4,6,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-Be/case_Be-Be_2.24_hgbs-5_as-002-004_state_infidelity.png
Be-Be_2.86_hgbs-5_as-002-004,Be-Be,hgbs-5,2.86,2,4,6,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-Be/case_Be-Be_2.86_hgbs-5_as-002-004_state_infidelity.png
Be-Be_1.63_sto-6g_as-002-004,Be-Be,sto-6g,1.63,2,4,6,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-Be/case_Be-Be_1.63_sto-6g_as-002-004_state_infidelity.png
Be-Be_2.24_sto-6g_as-002-004,Be-Be,sto-6g,2.24,2,4,6,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-Be/case_Be-Be_2.24_sto-6g_as-002-004_state_infidelity.png
Be-Be_2.86_sto-6g_as-002-004,Be-Be,sto-6g,2.86,2,4,6,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-Be/case_Be-Be_2.86_sto-6g_as-002-004_state_infidelity.png
Be-Be_1.63_hgbs-5_as-004-004,Be-Be,hgbs-5,1.63,4,4,8,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-Be/case_Be-Be_1.63_hgbs-5_as-004-004_state_infidelity.png
Be-Be_2.24_hgbs-5_as-004-004,Be-Be,hgbs-5,2.24,4,4,8,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-Be/case_Be-Be_2.24_hgbs-5_as-004-004_state_infidelity.png
Be-Be_2.86_hgbs-5_as-004-004,Be-Be,hgbs-5,2.86,4,4,8,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-Be/case_Be-Be_2.86_hgbs-5_as-004-004_state_infidelity.png
Be-Be_1.63_sto-6g_as-004-004,Be-Be,sto-6g,1.63,4,4,8,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-Be/case_Be-Be_1.63_sto-6g_as-004-004_state_infidelity.png
Be-Be_2.24_sto-6g_as-004-004,Be-Be,sto-6g,2.24,4,4,8,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-Be/case_Be-Be_2.24_sto-6g_as-004-004_state_infidelity.png
Be-Be_2.86_sto-6g_as-004-004,Be-Be,sto-6g,2.86,4,4,8,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-Be/case_Be-Be_2.86_sto-6g_as-004-004_state_infidelity.png
Be-H_1.07_hgbs-5_as-001-001,Be-H,hgbs-5,1.07,1,1,2,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-H/case_Be-H_1.07_hgbs-5_as-001-001_state_infidelity.png
Be-H_1.47_hgbs-5_as-001-001,Be-H,hgbs-5,1.47,1,1,2,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-H/case_Be-H_1.47_hgbs-5_as-001-001_state_infidelity.png
Be-H_1.88_hgbs-5_as-001-001,Be-H,hgbs-5,1.88,1,1,2,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-H/case_Be-H_1.88_hgbs-5_as-001-001_state_infidelity.png
Be-H_1.07_sto-6g_as-001-001,Be-H,sto-6g,1.07,1,1,2,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-H/case_Be-H_1.07_sto-6g_as-001-001_state_infidelity.png
Be-H_1.47_sto-6g_as-001-001,Be-H,sto-6g,1.47,1,1,2,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-H/case_Be-H_1.47_sto-6g_as-001-001_state_infidelity.png
Be-H_1.88_sto-6g_as-001-001,Be-H,sto-6g,1.88,1,1,2,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-H/case_Be-H_1.88_sto-6g_as-001-001_state_infidelity.png
Be-H_1.07_hgbs-5_as-001-003,Be-H,hgbs-5,1.07,1,3,4,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-H/case_Be-H_1.07_hgbs-5_as-001-003_state_infidelity.png
Be-H_1.47_hgbs-5_as-001-003,Be-H,hgbs-5,1.47,1,3,4,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-H/case_Be-H_1.47_hgbs-5_as-001-003_state_infidelity.png
Be-H_1.88_hgbs-5_as-001-003,Be-H,hgbs-5,1.88,1,3,4,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-H/case_Be-H_1.88_hgbs-5_as-001-003_state_infidelity.png
Be-H_1.07_sto-6g_as-001-003,Be-H,sto-6g,1.07,1,3,4,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-H/case_Be-H_1.07_sto-6g_as-001-003_state_infidelity.png
Be-H_1.47_sto-6g_as-001-003,Be-H,sto-6g,1.47,1,3,4,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-H/case_Be-H_1.47_sto-6g_as-001-003_state_infidelity.png
Be-H_1.88_sto-6g_as-001-003,Be-H,sto-6g,1.88,1,3,4,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-H/case_Be-H_1.88_sto-6g_as-001-003_state_infidelity.png
Be-H_1.07_hgbs-5_as-003-003,Be-H,hgbs-5,1.07,3,3,6,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-H/case_Be-H_1.07_hgbs-5_as-003-003_state_infidelity.png
Be-H_1.47_hgbs-5_as-003-003,Be-H,hgbs-5,1.47,3,3,6,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-H/case_Be-H_1.47_hgbs-5_as-003-003_state_infidelity.png
Be-H_1.88_hgbs-5_as-003-003,Be-H,hgbs-5,1.88,3,3,6,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-H/case_Be-H_1.88_hgbs-5_as-003-003_state_infidelity.png
Be-H_1.07_sto-6g_as-003-003,Be-H,sto-6g,1.07,3,3,6,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-H/case_Be-H_1.07_sto-6g_as-003-003_state_infidelity.png
Be-H_1.47_sto-6g_as-003-003,Be-H,sto-6g,1.47,3,3,6,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-H/case_Be-H_1.47_sto-6g_as-003-003_state_infidelity.png
Be-H_1.88_sto-6g_as-003-003,Be-H,sto-6g,1.88,3,3,6,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-H/case_Be-H_1.88_sto-6g_as-003-003_state_infidelity.png
Be-H_1.07_hgbs-5_as-003-005,Be-H,hgbs-5,1.07,3,5,8,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-H/case_Be-H_1.07_hgbs-5_as-003-005_state_infidelity.png
Be-H_1.47_hgbs-5_as-003-005,Be-H,hgbs-5,1.47,3,5,8,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-H/case_Be-H_1.47_hgbs-5_as-003-005_state_infidelity.png
Be-H_1.88_hgbs-5_as-003-005,Be-H,hgbs-5,1.88,3,5,8,"[1.0, 2.0, 5.0]","[1, 2, 4]","[10, 100, 1000]","[""fermionic_coloring"", ""jw_coloring"", ""jw_raw""]",81,81,81,0,True,generated,,analysis/l_sweep_all_case_figures/cases/Be-H/case_Be-H_1.88_hgbs-5_as-003-005_state_infidelity.png
